date,cash,stock_value,total_value
2015-06-12,1439072.4134651723,10114615.488131998,11553687.90159717
2015-06-15,1439072.4134651723,9888824.255362997,11327896.668828169
2015-06-16,1439072.4134651723,9516618.956147997,10955691.369613169
2015-06-17,1439072.4134651723,9699789.714390997,11138862.127856169
2015-06-18,1439072.4134651723,9368455.506480996,10807527.919946168
2015-06-19,1439072.4134651723,8825471.311342997,10264543.72480817
2015-06-23,1439072.4134651723,8799753.906281995,10238826.319747169
2015-06-24,1439072.4134651723,8925289.799283994,10364362.212749166
2015-06-25,1439072.4134651723,8514806.151208995,9953878.564674169
2015-06-26,1439072.4134651723,7868296.112678996,9307368.52614417
2015-06-29,1439072.4134651723,7349892.432144999,8788964.845610172
2015-06-30,1439072.4134651723,7632308.737097995,9071381.150563167
2015-07-01,1439072.4134651723,7320008.203235997,8759080.616701169
2015-07-02,1439072.4134651723,6877433.745449995,8316506.158915168
2015-07-03,1439072.4134651723,6503499.966724999,7942572.380190171
2015-07-06,1439072.4134651723,6257841.642967998,7696914.056433171
2015-07-07,1439072.4134651723,5923896.269616002,7362968.683081174
2015-07-08,1439072.4134651723,5760689.819182002,7199762.232647175
2015-07-09,1439072.4134651723,5946146.3681350015,7385218.781600174
2015-07-10,1439072.4134651723,6147552.613153,7586625.026618173
2015-07-13,1439072.4134651723,6355626.625122998,7794699.03858817
2015-07-14,1439072.4134651723,6451470.485637002,7890542.899102174
2015-07-15,1439072.4134651723,6207364.941737,7646437.355202172
2015-07-16,1439072.4134651723,6249373.212191998,7688445.625657171
2015-07-17,1439072.4134651723,6557172.315056998,7996244.72852217
2015-07-20,1439072.4134651723,6732427.740276,8171500.153741172
2015-07-21,1439072.4134651723,6862709.940881999,8301782.354347171
2015-07-22,1439072.4134651723,6955423.413498,8394495.826963173
2015-07-23,1439072.4134651723,7147187.918768998,8586260.33223417
2015-07-24,1439072.4134651723,7078803.669644,8517876.083109172
2015-07-27,1439072.4134651723,6615100.145369998,8054172.558835171
