code,name,industry,source,update_date
300001,特锐德,电气设备,tushare,2026-08-04
300002,神州泰岳,互联网,tushare,2026-08-04
300003,乐普医疗,医疗保健,tushare,2026-08-04
300004,南风股份,电气设备,tushare,2026-08-04
300005,探路者,服饰,tushare,2026-08-04
300008,天海防务,船舶,tushare,2026-08-04
300009,安科生物,生物制药,tushare,2026-08-04
300011,鼎汉技术,运输设备,tushare,2026-08-04
300012,华测检测,电器仪表,tushare,2026-08-04
300013,新宁物流,仓储物流,tushare,2026-08-04
300015,爱尔眼科,医疗保健,tushare,2026-08-04
300017,网宿科技,软件服务,tushare,2026-08-04
300022,吉峰科技,农用机械,tushare,2026-08-04
300024,机器人,专用机械,tushare,2026-08-04
300025,华星创业,通信设备,tushare,2026-08-04
300026,红日药业,中成药,tushare,2026-08-04
300030,阳普医疗,医疗保健,tushare,2026-08-04
300032,金龙机电,元器件,tushare,2026-08-04
300033,同花顺,软件服务,tushare,2026-08-04
300034,钢研高纳,航空,tushare,2026-08-04
300035,中科电气,电气设备,tushare,2026-08-04
300036,超图软件,软件服务,tushare,2026-08-04
300037,新宙邦,化工原料,tushare,2026-08-04
300039,上海凯宝,中成药,tushare,2026-08-04
300040,九洲集团,新型电力,tushare,2026-08-04
300043,星辉娱乐,互联网,tushare,2026-08-04
300045,华力创通,IT设备,tushare,2026-08-04
300047,天源迪科,软件服务,tushare,2026-08-04
300048,合康新能,建筑工程,tushare,2026-08-04
300049,福瑞医科,医疗保健,tushare,2026-08-04
300050,世纪鼎利,通信设备,tushare,2026-08-04
300052,中青宝,互联网,tushare,2026-08-04
300054,鼎龙股份,化工原料,tushare,2026-08-04
300055,万邦达,石油加工,tushare,2026-08-04
300056,中创环保,环境保护,tushare,2026-08-04
300057,万顺新材,铝,tushare,2026-08-04
300058,蓝色光标,广告包装,tushare,2026-08-04
300059,东方财富,证券,tushare,2026-08-04
300061,旗天科技,互联网,tushare,2026-08-04
300063,天龙集团,互联网,tushare,2026-08-04
300065,海兰信,船舶,tushare,2026-08-04
300067,安诺其,染料涂料,tushare,2026-08-04
300069,金利华电,电气设备,tushare,2026-08-04
300070,碧水源,环境保护,tushare,2026-08-04
300071,福石控股,广告包装,tushare,2026-08-04
300072,海新能科,化工原料,tushare,2026-08-04
300073,当升科技,电气设备,tushare,2026-08-04
300074,华平股份,软件服务,tushare,2026-08-04
300075,数字政通,软件服务,tushare,2026-08-04
300077,国民技术,半导体,tushare,2026-08-04
300079,数码视讯,IT设备,tushare,2026-08-04
300080,易成新能,电气设备,tushare,2026-08-04
300083,创世纪,机床制造,tushare,2026-08-04
300084,海默科技,专用机械,tushare,2026-08-04
300085,银之杰,软件服务,tushare,2026-08-04
300092,科新机电,专用机械,tushare,2026-08-04
300094,国联水产,渔业,tushare,2026-08-04
300097,智云股份,专用机械,tushare,2026-08-04
300098,高新兴,软件服务,tushare,2026-08-04
300099,尤洛卡,电器仪表,tushare,2026-08-04
300101,振芯科技,通信设备,tushare,2026-08-04
300103,达刚控股,专用机械,tushare,2026-08-04
300106,西部牧业,乳制品,tushare,2026-08-04
300107,建新股份,化工原料,tushare,2026-08-04
300113,顺网科技,互联网,tushare,2026-08-04
300120,经纬辉开,元器件,tushare,2026-08-04
300121,阳谷华泰,化工原料,tushare,2026-08-04
300122,智飞生物,生物制药,tushare,2026-08-04
300124,汇川技术,电器仪表,tushare,2026-08-04
300126,锐奇股份,轻工机械,tushare,2026-08-04
300127,银河磁体,矿物制品,tushare,2026-08-04
300130,新国都,IT设备,tushare,2026-08-04
300131,英唐智控,元器件,tushare,2026-08-04
300132,青松股份,化工原料,tushare,2026-08-04
300133,华策影视,影视音像,tushare,2026-08-04
300134,大富科技,通信设备,tushare,2026-08-04
300136,信维通信,元器件,tushare,2026-08-04
300137,先河环保,环境保护,tushare,2026-08-04
300138,晨光生物,食品,tushare,2026-08-04
300141,和顺电气,电气设备,tushare,2026-08-04
300142,沃森生物,生物制药,tushare,2026-08-04
300143,盈康生命,医疗保健,tushare,2026-08-04
300144,宋城演艺,旅游景点,tushare,2026-08-04
300146,汤臣倍健,食品,tushare,2026-08-04
300148,天舟文化,出版业,tushare,2026-08-04
300149,睿智医药,生物制药,tushare,2026-08-04
300150,世纪瑞尔,软件服务,tushare,2026-08-04
300153,科泰电源,电气设备,tushare,2026-08-04
300155,安居宝,IT设备,tushare,2026-08-04
300159,新研股份,农用机械,tushare,2026-08-04
300161,华中数控,机床制造,tushare,2026-08-04
300162,雷曼光电,元器件,tushare,2026-08-04
300163,先锋新材,家居用品,tushare,2026-08-04
300164,通源石油,石油开采,tushare,2026-08-04
300168,万达信息,软件服务,tushare,2026-08-04
300169,天晟新材,塑料,tushare,2026-08-04
300170,汉得信息,软件服务,tushare,2026-08-04
300174,元力股份,化工原料,tushare,2026-08-04
300175,朗源股份,食品,tushare,2026-08-04
300176,鸿特科技,汽车配件,tushare,2026-08-04
300180,华峰超纤,化纤,tushare,2026-08-04
300181,佐力药业,中成药,tushare,2026-08-04
300182,捷成股份,影视音像,tushare,2026-08-04
300184,力源信息,元器件,tushare,2026-08-04
300188,国投智能,软件服务,tushare,2026-08-04
300189,神农种业,种植业,tushare,2026-08-04
300191,潜能恒信,石油开采,tushare,2026-08-04
300194,福安药业,化学制药,tushare,2026-08-04
300195,长荣股份,轻工机械,tushare,2026-08-04
300199,翰宇药业,化学制药,tushare,2026-08-04
300201,海伦哲,工程机械,tushare,2026-08-04
300204,舒泰神,生物制药,tushare,2026-08-04
300209,行云科技,互联网,tushare,2026-08-04
300213,佳讯飞鸿,通信设备,tushare,2026-08-04
300214,日科化学,化工原料,tushare,2026-08-04
300215,电科院,电气设备,tushare,2026-08-04
300221,银禧科技,塑料,tushare,2026-08-04
300222,科大智能,电气设备,tushare,2026-08-04
300223,北京君正,半导体,tushare,2026-08-04
300225,金力泰,染料涂料,tushare,2026-08-04
300226,上海钢联,互联网,tushare,2026-08-04
300227,光韵达,专用机械,tushare,2026-08-04
300228,富瑞特装,化工机械,tushare,2026-08-04
300229,拓尔思,软件服务,tushare,2026-08-04
300234,开尔新材,陶瓷,tushare,2026-08-04
300238,冠昊生物,医疗保健,tushare,2026-08-04
300239,东宝生物,生物制药,tushare,2026-08-04
300241,瑞丰光电,半导体,tushare,2026-08-04
300242,佳云科技,互联网,tushare,2026-08-04
300243,瑞丰高材,化工原料,tushare,2026-08-04
300244,迪安诊断,医疗保健,tushare,2026-08-04
300246,宝莱特,医疗保健,tushare,2026-08-04
300249,依米康,IT设备,tushare,2026-08-04
300250,初灵信息,软件服务,tushare,2026-08-04
300251,光线传媒,影视音像,tushare,2026-08-04
300252,金信诺,通信设备,tushare,2026-08-04
300253,卫宁健康,软件服务,tushare,2026-08-04
300254,仟源医药,化学制药,tushare,2026-08-04
300256,星星科技,摩托车,tushare,2026-08-04
300257,开山股份,机械基件,tushare,2026-08-04
300260,新莱应材,机械基件,tushare,2026-08-04
300265,通光线缆,电气设备,tushare,2026-08-04
300266,兴源环境,环境保护,tushare,2026-08-04
300267,尔康制药,化学制药,tushare,2026-08-04
300269,联建光电,元器件,tushare,2026-08-04
300270,中威电子,IT设备,tushare,2026-08-04
300271,华宇软件,软件服务,tushare,2026-08-04
300272,开能健康,家用电器,tushare,2026-08-04
300274,阳光电源,电气设备,tushare,2026-08-04
300276,三丰智能,专用机械,tushare,2026-08-04
300277,汽轮科技,机械基件,tushare,2026-08-04
300278,华昌达,专用机械,tushare,2026-08-04
300279,和晶科技,元器件,tushare,2026-08-04
300283,温州宏丰,电气设备,tushare,2026-08-04
300284,苏交科,建筑工程,tushare,2026-08-04
300288,朗玛信息,软件服务,tushare,2026-08-04
300289,利德曼,医疗保健,tushare,2026-08-04
300291,百纳千成,影视音像,tushare,2026-08-04
300292,吴通控股,互联网,tushare,2026-08-04
300299,富春股份,互联网,tushare,2026-08-04
300300,海峡创新,软件服务,tushare,2026-08-04
300302,同有科技,IT设备,tushare,2026-08-04
300308,中际旭创,通信设备,tushare,2026-08-04
300310,宜通世纪,通信设备,tushare,2026-08-04
300313,天山生物,农业综合,tushare,2026-08-04
300315,掌趣科技,互联网,tushare,2026-08-04
300316,晶盛机电,专用机械,tushare,2026-08-04
300317,珈伟新能,电气设备,tushare,2026-08-04
300318,博晖创新,医疗保健,tushare,2026-08-04
300320,海达股份,橡胶,tushare,2026-08-04
300322,硕贝德,元器件,tushare,2026-08-04
300323,华灿光电,半导体,tushare,2026-08-04
300324,旋极信息,软件服务,tushare,2026-08-04
300328,宜安科技,小金属,tushare,2026-08-04
300331,苏大维格,元器件,tushare,2026-08-04
300332,天壕能源,供气供热,tushare,2026-08-04
300337,银邦股份,铝,tushare,2026-08-04
300340,科恒股份,电气设备,tushare,2026-08-04
300343,联创股份,化工原料,tushare,2026-08-04
300345,华民股份,电气设备,tushare,2026-08-04
300347,泰格医药,医疗保健,tushare,2026-08-04
300348,长亮科技,软件服务,tushare,2026-08-04
300353,东土科技,通信设备,tushare,2026-08-04
300354,东华测试,电器仪表,tushare,2026-08-04
300355,蒙草生态,环境保护,tushare,2026-08-04
300357,我武生物,生物制药,tushare,2026-08-04
300359,全通教育,文教休闲,tushare,2026-08-04
300363,博腾股份,化学制药,tushare,2026-08-04
300365,恒华科技,软件服务,tushare,2026-08-04
