date,code,action,price,shares
2005-01-04,800,BUY,2.66737929458,1800
2005-01-04,600733,BUY,1.6468913260799998,2900
2005-01-04,600685,BUY,3.499040545,1400
2005-01-04,880,BUY,1.5765448198499998,3100
2005-01-04,503,BUY,10.325120345539998,400
2005-01-04,923,BUY,3.5591117562,1300
2005-01-04,1896,BUY,3.76376,1300
2005-01-04,50,BUY,4.15341011085,1100
2005-01-04,600062,BUY,1.7361220376499995,2800
2005-01-04,600523,BUY,2.0040013293299994,2400
2005-01-04,600698,BUY,1.88188,2600
2005-01-04,972,BUY,3.21431796686,1500
2005-01-04,600784,BUY,1.7046744915199998,2800
2005-01-04,89,BUY,3.6205328159,1300
2005-01-04,567,BUY,0.7532807281999999,6500
2005-01-04,403,BUY,1.9760768027,2400
2005-01-04,955,BUY,2.31014232449,2100
2005-01-04,600780,BUY,3.5132394297,1400
2005-01-04,885,BUY,1.03005590688,4700
2005-01-04,600682,BUY,1.9959153214,2400
2005-01-04,600426,BUY,1.02402447147,4800
2005-01-04,1696,BUY,0.7749421679999999,6300
2005-01-04,960,BUY,3.5943951643599994,1300
2005-01-04,600838,BUY,3.54370000985,1300
2005-01-04,635,BUY,5.696145655199999,800
2005-01-04,600067,BUY,1.4093619539999998,3500
2005-01-04,600519,BUY,7.725427709999999,600
2005-01-04,738,BUY,2.5356256926,1900
2005-01-04,518,BUY,2.45245,2000
2005-01-04,600475,BUY,2.29832662059,2100
2005-01-04,70,BUY,2.37125620732,2000
2005-01-04,600303,BUY,2.3791243475999995,2000
2005-01-04,629,BUY,1.40066139213,3500
2005-01-04,600875,BUY,4.64775715404,1000
2005-01-04,600563,BUY,5.8412896542,800
2005-01-04,600396,BUY,1.7624523216299997,2800
2005-01-04,600616,BUY,3.89702130818,1200
2005-01-04,600630,BUY,3.75911080545,1300
2005-01-04,153,BUY,2.73884008398,1800
2005-01-04,600789,BUY,1.5860781336399998,3100
2005-01-04,600202,BUY,4.11801549159,1100
2005-01-04,407,BUY,1.5562791243999998,3100
2005-01-04,600710,BUY,1.9835100285,2400
2005-01-04,600383,BUY,0.6696877186999999,7300
2005-01-04,868,BUY,1.1879890022,4100
2005-01-04,61,BUY,1.03185025944,4700
2005-01-04,600380,BUY,2.0487604137,2400
2005-01-04,600199,BUY,1.39567873445,3500
2005-01-04,938,BUY,5.121107351359999,900
2005-01-04,600267,BUY,5.5826186416,800
2005-01-04,725,BUY,2.6642975358999994,1800
2005-01-04,776,BUY,1.0750203664199998,4500
2005-01-04,600120,BUY,0.6020786772,8200
2005-01-04,49,BUY,1.9894498624,2400
2005-01-04,543,BUY,2.16902560875,2200
2005-01-04,815,BUY,2.6583528972,1800
2005-01-04,600016,BUY,0.51293548306,9600
2005-01-04,600496,BUY,0.6588369787999999,7400
2005-01-04,410,BUY,3.8191098545599993,1200
2005-01-04,678,BUY,1.85373814626,2600
2005-01-04,519,BUY,3.7866197369,1300
2005-01-04,920,BUY,5.9174184069,800
2005-01-04,600320,BUY,1.6676248188599998,2900
2005-01-04,600095,BUY,2.3448351726799994,2100
2005-01-04,573,BUY,2.3681422764999995,2000
2005-01-04,829,BUY,1.4140171645599997,3400
2005-01-04,600808,BUY,2.37126465576,2000
2005-01-04,600797,BUY,3.8530599307199993,1200
2005-01-04,828,BUY,2.6913122236,1800
2005-01-04,600362,BUY,3.81225202358,1200
2005-01-04,795,BUY,2.1108836749,2300
2005-01-04,600026,BUY,6.206151071119999,700
2005-01-04,708,BUY,1.8001890906999998,2700
2005-01-04,988,BUY,2.9832798995999994,1600
2005-01-04,600031,BUY,0.4533994665199999,10800
2005-01-04,507,BUY,2.1013264272,2300
2005-01-04,600176,BUY,0.4937587855199999,10000
2005-01-04,600623,BUY,5.15871343988,900
2005-01-04,514,BUY,2.01833961329,2400
2005-01-04,25,BUY,2.24970441696,2100
2005-01-04,888,BUY,2.40104665801,2000
2005-02-01,543,SELL,1.83483407925,2200
2005-02-01,600362,SELL,3.43906521228,1200
2005-02-01,403,SELL,1.4368953663,2400
2005-02-01,795,SELL,2.00725042032,2300
2005-02-01,868,SELL,1.0755732501000002,4100
2005-02-01,708,SELL,1.39998608253,2700
2005-02-01,61,SELL,0.8415476899200001,4700
2005-02-01,600682,SELL,2.0199827952,2400
2005-02-01,600623,SELL,4.44705156693,900
2005-02-01,50,SELL,3.77046650925,1100
2005-02-01,600523,SELL,1.89789536484,2400
2005-02-01,70,SELL,2.31428627712,2000
2005-02-01,600838,SELL,3.21429485763,1300
2005-02-01,807,BUY,1.2373459097999997,11900
2005-02-01,600408,BUY,3.7156497377999993,3900
2005-02-01,600580,BUY,1.3217499495199998,11200
2005-02-01,600126,BUY,2.8193357192,5200
2005-02-01,717,BUY,3.46985530892,4200
2005-02-01,600301,BUY,6.905969069999999,2100
2005-02-01,600323,BUY,2.48205382425,5900
2005-02-01,600166,BUY,0.7312644739399999,20200
2005-02-01,600499,BUY,0.6185549369999999,23900
2005-02-01,157,BUY,0.3430915488,43100
2005-02-01,600398,BUY,1.3501199711999998,10900
2005-02-01,600469,BUY,2.8347182864,5200
2005-02-01,690,BUY,0.50224928754,29500
2005-02-01,731,BUY,4.175912941199999,3500
2005-02-01,600308,BUY,2.0189200031,7300
2005-02-01,969,BUY,2.57398916775,5700
2005-02-01,600276,BUY,0.4587117635099999,32300
2005-02-01,600590,BUY,2.2790643876,6500
2005-05-10,807,SELL,0.9860558571,11900
2005-05-10,888,SELL,2.19700164915,2000
2005-05-10,600733,SELL,1.0272505212,2900
2005-05-10,600685,SELL,2.10221377191,1400
2005-05-10,880,SELL,1.47402257193,3100
2005-05-10,600383,SELL,0.65112417405,7300
2005-05-10,600469,SELL,3.42517671468,5200
2005-05-10,923,SELL,1.99588607604,1300
2005-05-10,600380,SELL,1.8504505971,2400
2005-05-10,690,SELL,0.43703796456,29500
2005-05-10,600199,SELL,0.82242320355,3500
2005-05-10,600062,SELL,1.9600898481,2800
2005-05-10,600698,SELL,1.40859,2600
2005-05-10,972,SELL,2.5512599862,1500
2005-05-10,776,SELL,0.8738175177899999,4500
