date,value
2010-06-30,777772.1192612404
2010-09-30,1009432.6675935476
2010-12-31,1078341.615761892
2011-03-31,1123147.4527170563
2011-06-30,1090159.8741672805
2011-09-30,930992.5151469136
2011-12-30,755039.6377906648
2012-03-30,819519.1531053396
2012-06-29,899038.9231091703
2012-09-28,883627.1268830321
2012-12-31,913734.1314556237
2013-03-29,1043425.6535613377
2013-06-28,1037947.450263354
2013-09-30,1355115.127089962
2013-12-31,1269952.3779878272
2014-03-31,1337944.0889845283
2014-06-30,1442430.2163543156
2014-09-30,1880056.1712209852
2014-12-31,1883291.1971802788
2015-03-31,2495172.3919792976
2015-06-30,3278845.003325533
2015-09-30,2350037.0137342615
2015-12-31,3114337.2220255327
2016-03-31,2526004.15156055
2016-06-30,2535151.346487211
2016-09-30,2498928.144738974
2016-12-30,2557587.073642025
2017-03-31,2557972.2332468163
2017-06-30,2315084.5158661865
2017-09-29,2480571.836207092
2017-12-29,2442232.784185413
2018-03-30,2475261.479210299
2018-06-29,2365585.660304623
2018-09-28,2207706.8413720615
2018-12-28,1908123.2504939456
2019-03-29,2480167.1575500634
2019-06-28,2426786.318397193
2019-09-30,2566869.1097683026
2019-12-31,2731629.920265276
2020-03-31,2679103.7695865324
2020-06-30,3105685.72037359
2020-09-30,3190131.940606395
2020-12-31,3469856.1347362804
2021-03-31,3189614.402800195
2021-06-30,3519724.0065799523
2021-09-30,4058731.033102171
2021-12-31,4308151.779881309
2022-03-31,3978041.0428157626
2022-06-30,3770996.6220084494
2022-09-30,3482712.7272460377
2022-12-30,3391641.1307724244
2023-03-31,3583128.3676804425
2023-06-30,3704322.51843522
2023-09-28,3400155.198819425
2023-12-29,3393457.2750453907
2024-03-29,3341192.917365233
2024-06-28,3253280.156697009
2024-09-30,3495748.102973987
2024-12-31,3440426.996149394
2025-03-31,3646992.856864523
2025-06-30,4100739.1953370715
2025-09-30,4952302.570799982
2025-12-31,5201004.062414836
2026-03-31,5663441.426225286
2026-06-30,7073674.285898882
