buy_date,sell_date,code,buy_price,sell_price,return
2010-04-01,2010-06-30,000050,7.45929744,6.96454812,-0.06632653061224492
2010-04-01,2010-06-30,000158,8.08996934,5.654685,-0.30102516309412863
2010-04-01,2010-06-30,000401,13.50995906,11.56334613,-0.14408725602755457
2010-04-01,2010-06-30,000410,12.1080852,10.1231532,-0.16393442622950816
2010-04-01,2010-06-30,000536,9.89280448,9.30203984,-0.05971659919028338
2010-04-01,2010-06-30,000554,8.56676849,6.47566752,-0.24409448818897628
2010-04-01,2010-06-30,000561,9.81783046,7.32092546,-0.254323499491353
2010-04-01,2010-06-30,000572,7.27863885,4.76329971,-0.34557823129251697
2010-04-01,2010-06-30,000605,9.35690856,6.83533632,-0.26948775055679297
2010-04-01,2010-06-30,000608,9.25253404,6.49433916,-0.2981015652658977
2010-04-01,2010-06-30,000652,8.02111625,6.5085629,-0.1885714285714286
2010-04-01,2010-06-30,000665,8.07211138,8.14729616,0.009314140558848383
2010-04-01,2010-06-30,000668,14.4658885,9.77661055,-0.3241610738255034
2010-04-01,2010-06-30,000678,7.71,6.25,-0.1893644617380026
2010-04-01,2010-06-30,000682,5.67488246,4.3652942,-0.23076923076923073
2010-04-01,2010-06-30,000710,16.5,8.86,-0.463030303030303
2010-04-01,2010-06-30,000723,4.61336832,4.21155072,-0.08709853021230274
2010-04-01,2010-06-30,000777,11.76151756,8.8277091,-0.24944131954346205
2010-04-01,2010-06-30,000788,8.15624045,5.91474994,-0.27481908162724655
2010-04-01,2010-06-30,000798,8.13631192,6.92164924,-0.1492890995260664
2010-04-01,2010-06-30,000801,3.3956496,2.51136585,-0.26041666666666674
2010-04-01,2010-06-30,000823,11.1127536,8.75395456,-0.21226053639846731
2010-04-01,2010-06-30,000868,7.22505798,4.39996824,-0.3910127431254192
2010-04-01,2010-06-30,000875,5.00981624,5.00981624,0.0
2010-04-01,2010-06-30,000888,6.8909454,7.26527634,0.05432214569571259
2010-04-01,2010-06-30,000890,6.2670393,4.68327588,-0.25271317829457374
2010-04-01,2010-06-30,000920,8.470485,6.0898329,-0.28105263157894733
2010-04-01,2010-06-30,000923,9.68465784,6.45926043,-0.333041958041958
2010-04-01,2010-06-30,000957,4.7579511,3.26589459,-0.31359223300970873
2010-04-01,2010-06-30,000970,5.1317445,4.83100174,-0.058604390768090764
2010-04-01,2010-06-30,000993,9.532552,6.667168,-0.3005893909626719
2010-04-01,2010-06-30,002005,10.04423784,8.47420658,-0.1563116370808677
2010-04-01,2010-06-30,002009,14.2152219,10.16603748,-0.2848484848484848
2010-04-01,2010-06-30,002020,2.01821616,1.87611075,-0.07041139240506333
2010-04-01,2010-06-30,002047,6.5226237,4.46470766,-0.31550433301862857
2010-04-01,2010-06-30,002077,9.08530376,6.7262442,-0.25965665236051505
2010-04-01,2010-06-30,002119,7.3717821,5.44958326,-0.26075090309573856
2010-04-01,2010-06-30,002134,9.34,6.24,-0.3319057815845824
2010-04-01,2010-06-30,002136,6.97929342,6.28044454,-0.10013175230566529
2010-04-01,2010-06-30,002137,6.8405472,6.14449152,-0.10175438596491226
2010-04-01,2010-06-30,002140,13.217256,8.54910598,-0.35318601833845087
2010-04-01,2010-06-30,002141,2.23209924,1.92379824,-0.13812154696132606
2010-04-01,2010-06-30,002144,12.98164758,12.52840165,-0.03491436100131762
2010-04-01,2010-06-30,002156,6.7377875,6.15737976,-0.08614218539839658
2010-04-01,2010-06-30,002172,9.96338265,7.37,-0.26029138306757693
2010-04-01,2010-06-30,002181,6.9218496,5.90326848,-0.1471544715447154
2010-04-01,2010-06-30,002205,12.18528915,12.605229,0.034462854744813365
2010-04-01,2010-06-30,002213,7.55143904,8.284474,0.09707222108489666
2010-04-01,2010-06-30,002271,2.34207644,1.753716,-0.25121316706469243
2010-04-01,2010-06-30,600071,9.81991602,8.5,-0.13441214948394242
2010-04-01,2010-06-30,600073,6.20801368,4.45472654,-0.2824232081911262
2010-04-01,2010-06-30,600081,10.3777,6.71644744,-0.3528000000000001
2010-04-01,2010-06-30,600099,11.33383772,7.04980179,-0.3779863481228669
2010-04-01,2010-06-30,600115,7.5934674,6.6950037,-0.11832061068702282
2010-04-01,2010-06-30,600127,9.09,6.75,-0.25742574257425743
2010-04-01,2010-06-30,600135,10.88008054,7.75217806,-0.287488908606921
2010-04-01,2010-06-30,600168,6.5202819,4.1829965,-0.358463857214517
2010-04-01,2010-06-30,600171,8.1331167,5.89884671,-0.27471264367816095
2010-04-01,2010-06-30,600184,11.17410408,8.10509193,-0.27465397923875423
2010-04-01,2010-06-30,600232,5.02665696,3.55159808,-0.2934472934472935
2010-04-01,2010-06-30,600241,7.7484918,4.95942384,-0.35994978532467437
2010-04-01,2010-06-30,600250,8.63552684,6.5314897,-0.24364896073903008
2010-04-01,2010-06-30,600259,18.68034465,25.3397727,0.35649385355424923
2010-04-01,2010-06-30,600268,5.3363132,4.65848935,-0.12702100206562095
2010-04-01,2010-06-30,600272,11.3657614,6.67619094,-0.4126050420168068
2010-04-01,2010-06-30,600288,10.39691636,6.33231782,-0.3909426987060999
2010-04-01,2010-06-30,600316,22.4512617,20.23672308,-0.09863760217983641
2010-04-01,2010-06-30,600330,6.1926852,6.39910804,0.03333333333333344
2010-04-01,2010-06-30,600353,2.274678,1.65401586,-0.272857142857143
2010-04-01,2010-06-30,600379,10.92286725,7.47354075,-0.3157894736842105
2010-04-01,2010-06-30,600481,7.07541868,4.9360806,-0.30236204764069163
2010-04-01,2010-06-30,600501,9.2664585,7.67101608,-0.1721739130434783
2010-04-01,2010-06-30,600566,6.03647117,4.4726352,-0.25906459684127014
2010-04-01,2010-06-30,600573,11.2147646,10.25992856,-0.08514097924088393
2010-04-01,2010-06-30,600579,7.96,5.53,-0.30527638190954776
2010-04-01,2010-06-30,600584,10.628592,9.938778,-0.06490172922245963
2010-04-01,2010-06-30,600605,8.18298789,5.68648311,-0.30508474576271183
2010-04-01,2010-06-30,600645,9.35,8.34,-0.10802139037433156
2010-04-01,2010-06-30,600654,6.79159584,4.44664656,-0.345272206303725
2010-04-01,2010-06-30,600661,10.71423232,7.03121496,-0.3437500000000001
2010-04-01,2010-06-30,600667,3.745947,2.4006284,-0.35913978494623655
2010-04-01,2010-06-30,600668,4.66650663,3.43444674,-0.26402188782489744
2010-04-01,2010-06-30,600707,14.19616702,14.39513222,0.014015416958654603
2010-04-01,2010-06-30,600768,9.9558102,6.5718156,-0.33990147783251234
2010-04-01,2010-06-30,600773,11.18773638,7.34717016,-0.34328358208955223
2010-04-01,2010-06-30,600774,6.5957848,4.497126,-0.31818181818181823
2010-04-01,2010-06-30,600810,8.30742056,5.2490276,-0.36815193571950333
2010-04-01,2010-06-30,600812,11.0692009,8.95987678,-0.19055793991416314
2010-04-01,2010-06-30,600822,10.8222179,7.78176374,-0.280945568467994
2010-04-01,2010-06-30,600838,12.75353789,7.44777933,-0.416022487702038
2010-04-01,2010-06-30,600843,11.25650836,7.84248936,-0.30329289428076256
2010-04-01,2010-06-30,600846,5.58896832,3.42153024,-0.38780647087296427
2010-04-01,2010-06-30,600857,9.8953296,7.0023891,-0.2923541323979749
2010-04-01,2010-06-30,600986,5.78734443,4.39063765,-0.24133811230585422
2010-07-01,2010-09-30,000020,7.7,10.18,0.32207792207792196
2010-07-01,2010-09-30,000021,9.0476464,13.58886892,0.5019230769230769
2010-07-01,2010-09-30,000031,6.288867,6.38001,0.01449275362318847
2010-07-01,2010-09-30,000049,7.5626831,10.58058792,0.3990521327014216
2010-07-01,2010-09-30,000410,10.1231532,12.6539415,0.25
2010-07-01,2010-09-30,000430,4.73524029,5.83064196,0.23132969034608375
2010-07-01,2010-09-30,000503,6.97374171,9.39830424,0.3476702508960574
2010-07-01,2010-09-30,000518,4.65,7.17,0.5419354838709676
2010-07-01,2010-09-30,000524,8.231102,13.0087199,0.5804347826086955
2010-07-01,2010-09-30,000533,9.74901075,10.01532519,0.02731707317073173
2010-07-01,2010-09-30,000536,9.30203984,9.34709816,0.004843918191603791
2010-07-01,2010-09-30,000537,8.18343688,8.9340612,0.09172482552342975
2010-07-01,2010-09-30,000636,9.17300901,10.13371062,0.10473134921732741
2010-07-01,2010-09-30,000657,5.1748686,5.1748686,0.0
2010-07-01,2010-09-30,000665,7.8260521,10.81293836,0.38165938864628823
2010-07-01,2010-09-30,000670,4.72,4.72,0.0
2010-07-01,2010-09-30,000719,4.69884249,4.69884249,0.0
2010-07-01,2010-09-30,000736,3.9241404,4.3457097,0.10742971887550179
2010-07-01,2010-09-30,000751,6.2427696,9.9667002,0.5965189873417722
2010-07-01,2010-09-30,000762,16.47885575,25.7986,0.5655577299412915
2010-07-01,2010-09-30,000768,9.14582779,11.76159059,0.286006128702758
2010-07-01,2010-09-30,000790,4.6121181,7.27830144,0.5780821917808219
2010-07-01,2010-09-30,000791,3.25156188,4.5144708,0.3884007029876977
2010-07-01,2010-09-30,000801,2.4759945,3.50176365,0.41428571428571415
2010-07-01,2010-09-30,000807,5.33028816,6.52160416,0.22349936143039573
2010-07-01,2010-09-30,000809,6.7464628,6.5493259,-0.029220779220779147
2010-07-01,2010-09-30,000813,6.78000393,8.7711099,0.29367327667610965
2010-07-01,2010-09-30,000829,14.05626992,16.00582192,0.1386962552011095
2010-07-01,2010-09-30,000869,46.31919222,70.56167937,0.5233788843910887
2010-07-01,2010-09-30,000875,5.00981624,4.25787384,-0.150093808630394
2010-07-01,2010-09-30,000878,15.72690504,19.8029352,0.25917560700169395
2010-07-01,2010-09-30,000889,3.9280721,6.1875826,0.5752212389380531
2010-07-01,2010-09-30,000893,13.1013207,14.90030802,0.13731343283582098
2010-07-01,2010-09-30,000897,3.85451268,4.67910992,0.2139303482587065
2010-07-01,2010-09-30,000967,2.48826305,3.35374585,0.34782608695652173
2010-07-01,2010-09-30,000973,7.195335,9.565563,0.3294117647058823
2010-07-01,2010-09-30,000981,0.8466525,0.8466525,0.0
2010-07-01,2010-09-30,002005,8.4444899,9.64306266,0.14193548387096766
2010-07-01,2010-09-30,002007,11.58607708,13.125054,0.13282985339848952
2010-07-01,2010-09-30,002008,6.25319556,7.5822126,0.21253405994550412
2010-07-01,2010-09-30,002009,10.0990297,12.46344708,0.23412322274881503
2010-07-01,2010-09-30,002021,3.54411816,4.00901952,0.131175468483816
2010-07-01,2010-09-30,002034,4.36516017,5.63926653,0.2918807810894142
2010-07-01,2010-09-30,002069,17.0116401,28.2904198,0.6630036630036629
2010-07-01,2010-09-30,002075,4.11965625,4.11965625,0.0
2010-07-01,2010-09-30,002077,6.79448146,9.51422368,0.40028694404591114
2010-07-01,2010-09-30,002136,6.14711153,7.74250996,0.2595362752430814
2010-07-01,2010-09-30,002137,6.150492,6.68979155,0.08768396902231568
2010-07-01,2010-09-30,002144,12.5711607,17.37727792,0.3823129251700681
2010-07-01,2010-09-30,002156,6.21352608,6.62994462,0.06701807228915646
2010-07-01,2010-09-30,002162,4.65117427,6.18795084,0.3304061470911086
2010-07-01,2010-09-30,002172,7.4,9.4,0.2702702702702702
