最大回撤分析

开始:2015-06-12 00:00:00
结束:2018-10-18 00:00:00
回撤:-53.02%

  code  shares      cost    return status
601600    7600  8.909749 -0.498430    已卖出
  2204    8500  7.805836 -0.451808    已卖出
  2576    2200 30.035061 -0.418736    已卖出
   652    6500 10.710212 -0.397432    已卖出
300085    1200 52.177982 -0.391659    已卖出
600331    7300  8.155854 -0.386076    已卖出
300278    3100 21.747685 -0.379816    已卖出
300055    1900 34.913409 -0.373165    已卖出
300032    2400 27.929896 -0.347150    已卖出
   882   10400  6.350847 -0.307135    已卖出
600333    6000 11.223752 -0.286025    已卖出
600429    6300  9.554383 -0.270084    已卖出
   852    4600 13.498819 -0.230488    已卖出
  2639    6200 10.801311 -0.229446    已卖出
  2657     600 99.854455 -0.226548    已卖出
600688    9200  6.868266 -0.222689    已卖出
600839    8900  7.616860 -0.214444    已卖出
  2086    5900  9.755184 -0.178992    已卖出
600706    3900 15.916815 -0.174333    已卖出
600283    5600  9.348630 -0.172953    已卖出
  2077    3900 13.725263 -0.170245    已卖出
601519    2400 16.674258 -0.160024    已卖出
300033    1100 60.687195 -0.159581    已卖出
  2079    6600  8.655091 -0.133422    已卖出
600113    5700  9.353252 -0.117191    已卖出
600712    7000  9.664235 -0.113712    已卖出
300159    4300 15.766237 -0.098680    已卖出
   731    5500  8.401787 -0.076791    已卖出
300077    2300 19.458063 -0.066582    已卖出
  2123    3700 20.655081 -0.060691    已卖出
300120    5500 12.158346 -0.048064    已卖出
  2356    4000 16.831547 -0.029576    已卖出
  2395    5300 12.715060 -0.028827    已卖出
601126    7100  9.466877 -0.009975    已卖出
  2465    4900 13.664244 -0.001892    已卖出
  2166    7400  9.162602  0.014773    已卖出
   799    3900 14.271231  0.019234    已卖出
600798    7700  5.241133  0.031599    已卖出
300131    7100  9.529301  0.038045    已卖出
  2172    6000 10.904894  0.039776    已卖出
   936    5300  9.147157  0.040321    已卖出
  2614    5400 12.339411  0.058974    已卖出
600202    5300  9.367297  0.075267    已卖出
   408    4200 11.453289  0.075669    已卖出
601099   14800  4.186718  0.111947    已卖出
300071    5700  9.713450  0.133689    已卖出
  2052    4600  9.893345  0.135991    已卖出
600010   13900  2.369302  0.139478    已卖出
  2609    4700 14.150870  0.142134    已卖出
   697    1900 17.927801  0.151921    已卖出
