code,buy_date,sell_date,shares,avg_cost,sell_price,loss_amount,return,holding_days,max_position_value,name,industry,contribution
001267,2025-05-07,2026-05-07 00:00:00,7600,130.554545105985,56.6045681706,-562019.8247089259,-0.5664297391971451,365,929653.7168618699,汇绿生态,通信设备,0.007246881231883455
300101,2021-08-03,2021-11-02 00:00:00,3000,197.587226410574,26.55330043968,-513101.77791268204,-0.8656122618751483,91,359242.963171092,振芯科技,通信设备,0.00661611473639249
002555,2015-11-03,2016-05-04 00:00:00,1900,280.0103766507416,13.38874887897,-506581.0927663661,-0.9521848117233531,183,442217.45261694,三七互娱,互联网,0.006532034729374353
688400,2025-05-07,2025-11-03 00:00:00,2100,260.38936405625003,39.26452944672,-464362.1526800131,-0.8492083976278003,180,485340.66113032505,凌云光,专用机械,0.005987648871277158
600435,2021-11-02,2022-05-06 00:00:00,3300,142.58296837997332,7.90215979014,-444446.66834645,-0.9445785153730191,185,318721.866740277,北方导航,专用机械,0.005730851613786261
000980,2018-05-03,2018-11-01 00:00:00,5000,93.2554924188888,4.47552,-443899.862094444,-0.9520079741802587,182,360737.967838248,众泰汽车,汽车配件,0.00572380090171006
300101,2020-11-03,2021-05-07 00:00:00,5000,100.8020828698884,15.29398554516,-427540.486623642,-0.8482770880349674,185,359242.963171092,振芯科技,通信设备,0.005512857362260914
688032,2023-02-01,2023-05-05 00:00:00,2200,418.32749486528,224.9503528716,-425429.7123860961,-0.4622625678858523,93,920320.4887036161,禾迈股份,电气设备,0.005485640297071556
002555,2014-11-03,2015-05-05 00:00:00,10500,48.05433433229,8.8604296011,-411535.9996774949,-0.8156164324360174,183,442217.45261694,三七互娱,互联网,0.00530648988023121
600435,2017-05-03,2017-11-01 00:00:00,3900,111.73351396617666,13.1907417543,-384316.811626319,-0.8819446262265319,182,318721.866740277,北方导航,专用机械,0.004955516098946302
300153,2021-11-02,2022-05-06 00:00:00,2600,151.85902358088,7.075444373100001,-376437.30594022805,-0.9534078107032499,185,360355.991691696,科泰电源,电气设备,0.0048539149821127
002319,2016-11-01,2017-05-03 00:00:00,3300,127.78598297556,16.9095130605,-365892.350719698,-0.8676731777089036,183,347472.804526848,乐通股份,染料涂料,0.004717944621781927
300316,2020-11-03,2021-05-07 00:00:00,2900,159.0496039228648,35.88127838442,-357188.14406148996,-0.7744019632905119,185,309379.82886810997,晶盛机电,专用机械,0.0046057095206403055
300316,2018-05-03,2018-11-01 00:00:00,2400,157.5518624571558,8.78652658809,-357036.8060857579,-0.9442308935543089,182,309379.82886810997,晶盛机电,专用机械,0.004603758115569191
600435,2015-11-03,2016-05-04 00:00:00,1800,209.38921602320946,11.753014221,-355745.163243977,-0.9438700118171451,183,318721.866740277,北方导航,专用机械,0.004587103218612048
002523,2024-11-01,2025-05-07 00:00:00,11300,34.97595629031929,3.59274992373,-354630.23194245895,-0.8972794369392436,187,361160.74994999997,天桥起重,专用机械,0.0045727269023886925
002571,2014-05-06,2014-11-03 00:00:00,1200,304.8095178461666,12.63735,-350606.6014153999,-0.9585401725992759,181,347693.36141539994,德力股份,家居用品,0.004520844795621945
300456,2020-11-03,2021-05-07 00:00:00,3200,127.23136198272499,19.01184655257,-346302.44937649596,-0.8505726398248307,185,309134.38600044,赛微电子,半导体,0.004465345545847151
002299,2023-05-05,2023-11-01 00:00:00,3400,115.53891610673175,17.28298607364,-334070.1621125119,-0.8504141577918696,180,157705.59141336996,圣农发展,农业综合,0.004307618132864374
002415,2021-08-03,2021-11-02 00:00:00,1600,245.65098361803996,44.87757743007,-321237.44990075193,-0.8173116314492367,91,308054.28336883197,海康威视,IT设备,0.004142148629489241
600435,2009-11-03,2010-05-05 00:00:00,4700,74.40059939162914,6.7106383443,-318142.816922447,-0.9098039747102492,183,318721.866740277,北方导航,专用机械,0.004102245343761446
600316,2026-05-07,2018-10-18,3100,108.9181357354413,7.63577583,-313975.315706868,-0.9298943580107994,-2758,114293.68013863801,洪都航空,航空,0.004048508117750474
300456,2018-11-01,2019-05-07 00:00:00,1300,249.03341132207998,12.90376457874,-306968.54076634196,-0.9481846049883993,187,309134.38600044,赛微电子,半导体,0.003958160298011503
300401,2017-11-01,2018-08-01 00:00:00,4100,89.02918496179021,16.87383032895,-295836.95399464486,-0.8104685521248796,273,218373.5144731139,花园生物,化学制药,0.0038146257041941534
002299,2016-05-04,2016-11-01 00:00:00,1600,203.57081602983124,20.51371523052,-292891.36127889797,-0.8992305693390062,181,157705.59141336996,圣农发展,农业综合,0.0037766441960159066
002805,2022-08-02,2023-05-05 00:00:00,12100,43.80904209665454,19.73709067248,-291270.61223251186,-0.5494744982340708,276,465491.1128867999,丰元股份,电气设备,0.0037557456879393786
600779,2021-08-03,2021-11-02 00:00:00,900,440.6196445917933,121.37084869896,-287323.91630354995,-0.7245450805730586,91,213046.04122401596,水井坊,白酒,0.0037048556029315094
002099,2019-05-07,2019-11-01 00:00:00,5100,62.45022582112038,6.4462648824,-285620.20078747394,-0.8967775568840313,178,218445.58896159995,海翔药业,化学制药,0.0036828872960229155
000034,2017-05-03,2017-11-01 00:00:00,3700,87.05214952488107,14.0693757408,-270036.2630011,-0.8383799157448867,182,157764.555636688,神州数码,软件服务,0.0034819425227288372
000688,2024-11-01,2025-05-07 00:00:00,2800,108.19450070571999,11.86033736043,-269735.657366812,-0.8903794806291576,187,215888.26962502793,国城矿业,铅锌,0.0034780664079842225
000893,2022-05-06,2022-11-01 00:00:00,400,687.5806266554224,25.613965395,-264786.66450416896,-0.9627476918312937,179,132839.96064639298,亚钾国际,农药化肥,0.0034142523538953163
