industry,股票数量,总持股,平均收益,最差收益
铝,1,7600,-0.4984297045549292,-0.4984297045549292
批发业,1,6500,-0.3974319999696833,-0.3974319999696833
供气供热,1,6000,-0.2860246802805549,-0.2860246802805549
乳制品,1,6300,-0.2700843174883804,-0.2700843174883804
化工机械,1,4600,-0.2304879331195122,-0.2304879331195122
渔业,1,5900,-0.1789920946487302,-0.1789920946487302
水务,1,5600,-0.1729533743647722,-0.1729533743647722
其他商业,2,14400,-0.16835577010393515,-0.3071353003354369
农药化肥,3,17000,-0.12906598856683008,-0.3860758871764239
区域地产,1,5700,-0.1171905491028761,-0.1171905491028761
百货,1,7000,-0.1137121354804416,-0.1137121354804416
农用机械,1,4300,-0.0986797139618282,-0.0986797139618282
专用机械,5,30800,-0.05957228268562433,-0.4518080169576193
塑料,1,5300,-0.0288267679848729,-0.0288267679848729
石油加工,3,27600,-0.009213603657627209,-0.3731650372099813
白酒,1,3900,0.0192338443946802,0.0192338443946802
水运,1,7700,0.0315988311334252,0.0315988311334252
化纤,1,5300,0.0403205562156325,0.0403205562156325
家用电器,4,27600,0.048747745946446125,-0.2144439718697144
半导体,4,15500,0.10308209464988018,-0.1702454326934099
证券,1,14800,0.1119467122904063,0.1119467122904063
电气设备,5,27000,0.12642251498511475,-0.41873557752152
广告包装,1,5700,0.1336891790419336,0.1336891790419336
普钢,1,13900,0.1394784153987818,0.1394784153987818
航空,1,1900,0.1519210922670897,0.1519210922670897
综合类,1,3500,0.1587499560126912,0.1587499560126912
元器件,5,26600,0.17142830291792494,-0.3471500064002808
环境保护,1,5800,0.3091754901996373,0.3091754901996373
建筑工程,2,9900,0.3547128562995867,0.1854414143301512
文教休闲,2,7800,0.37147347072815007,0.1529872364864757
小金属,1,1800,0.4193684697209936,0.4193684697209936
互联网,4,21200,0.4561161452744684,-0.0606907469293457
饲料,1,5400,0.4804170535056882,0.4804170535056882
机床制造,1,4500,0.4934766995100945,0.4934766995100945
医疗保健,2,7900,0.551568177818226,0.0397762692603889
全国地产,1,9900,0.5902229638493375,0.5902229638493375
通信设备,6,25400,0.6322731706993462,-0.0018923631443458
化学制药,1,5300,0.6693699224041785,0.6693699224041785
软件服务,9,31600,0.7117374125063609,-0.3916588479406245
其他建材,1,16100,0.7537061892877468,0.7537061892877468
汽车整车,1,3500,0.8727379382727469,0.8727379382727469
IT设备,1,4200,0.8808591287261462,0.8808591287261462
机械基件,2,5300,0.8934343021874291,0.7923859570172946
医药商业,1,7400,0.956607926416281,0.956607926416281
红黄酒,1,6100,1.1205286575991824,1.1205286575991824
旅游景点,2,12000,1.3249523763033493,-0.1743332110705823
中成药,2,18900,1.3325363176067375,0.0147728876575783
化工原料,1,5000,1.4063668438960466,1.4063668438960466
林业,1,5600,5.377196239723657,5.377196239723657
