industry,loss_amount,stocks,max_position
软件服务,858040.770594,10,1099885.197651
白酒,345873.57966399996,2,469874.19278399996
生物制药,330520.728656,3,442022.88932599995
化工原料,246788.71030799998,5,359937.423266
电气设备,217185.198028,4,308983.009488
工程机械,178377.0,1,206793.0
影视音像,168979.656658,3,235722.462562
小金属,163664.189973,3,190964.493291
医疗保健,159764.90213400003,3,229484.324456
专用机械,151832.961312,3,202527.369696
汽车配件,123608.24297,2,151251.06906100002
矿物制品,114324.26426400001,2,140582.21344800002
互联网,110681.153528,2,135326.1578
通信设备,106238.20826999999,1,120009.12
建筑工程,91136.865204,1,124265.213424
水泥,90408.212048,1,121560.957952
家用电器,78432.740979,1,105938.93058
普钢,77263.07107199999,1,102109.788
区域地产,74799.920978,1,101089.54409
渔业,72734.66210999999,1,100875.32301
煤炭开采,71368.33962399999,1,122235.324912
中成药,70673.25151999999,2,97884.07605599999
证券,68030.50695000001,1,93495.86475000001
化学制药,66087.07604,1,97433.51392
机械基件,42925.834321999995,1,65615.26226399999
石油开采,41926.781,1,65846.781
综合类,33544.432740000004,1,56133.7336
食品,33137.728512,1,47790.282176
半导体,32972.316795000006,1,60983.991953000004
医药商业,29065.558827,1,44821.620507
