code,shares,avg_cost,max_position_value,bottom_value,loss_amount,loss_ratio,peak_date,bottom_date,holding_days,name,industry
600410,7300,12.089313844827394,244576.24963200002,38230.056127,206346.19350500003,0.8436885994264669,2015-06-12,2018-10-16,351,华胜天成,软件服务
600779,4400,71.04003300712499,219490.293264,28027.19612,191463.097144,0.8723078105039968,2018-07-11,2015-09-15,78,水井坊,白酒
601106,11100,3.7937900000000004,206793.0,28416.0,178377.0,0.8625872249060654,2015-06-12,2018-10-18,168,中国一重,工程机械
300357,10200,21.11861888136,250360.42126799998,87304.63937399999,163055.78189399999,0.6512841808947742,2018-07-16,2016-02-29,78,我武生物,生物制药
603369,12000,17.938263593249996,250383.89951999998,95973.417,154410.48251999996,0.6166949345226013,2018-06-12,2015-08-25,78,今世缘,白酒
300168,2200,43.15494713985,155196.408796,26865.269200000002,128331.139596,0.8268950331491663,2015-06-17,2017-07-26,168,万达信息,软件服务
300122,4100,21.584687652820975,135257.922848,21757.28919,113500.63365799999,0.8391422200498349,2018-07-16,2015-09-02,351,智飞生物,生物制药
300308,3000,48.89706848025999,120009.12,13770.911730000002,106238.20826999999,0.8852511231646394,2018-03-20,2015-09-15,351,中际旭创,通信设备
300513,2400,17.636745436309997,119745.9378,13688.723447999999,106057.214352,0.8856852791878173,2016-07-06,2016-05-30,168,恒实科技,软件服务
300015,15800,4.663906407159999,143348.478616,41161.874652,102186.60396400001,0.7128544714990392,2018-07-16,2015-08-25,351,爱尔眼科,医疗保健
300080,7200,13.923900368155556,120743.99366400001,28584.0,92159.99366400001,0.7632677275894812,2015-06-12,2018-10-18,168,易成新能,电气设备
600248,9900,8.11044519376,124265.213424,33128.34822,91136.865204,0.7334060972722577,2015-06-12,2018-10-18,168,陕建股份,建筑工程
600801,11200,15.398097677462498,121560.957952,31152.745904,90408.212048,0.7437273740776122,2018-08-10,2016-02-01,351,华新建材,水泥
603799,1900,37.49816814744,97800.387048,8796.037536,89004.349512,0.9100613218260277,2018-03-15,2015-09-15,351,华友钴业,小金属
300276,7400,13.685654670796213,110422.714752,27977.946048,82444.768704,0.746628706685612,2015-06-12,2018-10-08,168,三丰智能,专用机械
300428,3100,13.308310765749995,102843.488125,23325.191275,79518.29685,0.7731971979922574,2017-04-11,2018-10-18,168,立中集团,汽车配件
600378,4000,15.961377877945498,109024.2536,30396.57264,78627.68096,0.7211943981609611,2015-06-12,2018-10-18,168,昊华科技,化工原料
300272,6900,6.091595570059999,105938.93058,27506.189601,78432.740979,0.7403580586437141,2015-06-12,2018-10-16,168,开能健康,家用电器
601003,13200,5.561854738439999,102109.788,24846.716928,77263.07107199999,0.7566666485684995,2018-08-13,2016-02-01,351,柳钢股份,普钢
600516,6000,44.406789483055995,92878.73700000001,16816.08948,76062.64752000001,0.8189457563360277,2017-09-13,2015-09-15,351,方大炭素,矿物制品
600683,8600,7.582454399519998,101089.54409,26289.623112,74799.920978,0.7399372670175033,2015-06-15,2018-10-18,168,京投发展,区域地产
300047,4700,8.936403576099998,102881.45088,29361.93024,73519.52064,0.7146042363433668,2015-06-12,2015-09-02,168,天源迪科,软件服务
300094,5500,12.408112769051998,100875.32301,28140.6609,72734.66210999999,0.7210352337884425,2015-06-15,2018-10-18,168,国联水产,渔业
300300,3300,12.644617085099998,104368.82049,32135.369079,72233.451411,0.6920979950896444,2015-06-12,2018-02-06,168,海峡创新,软件服务
300383,2800,24.215882101125,101682.278852,30102.20668,71580.072172,0.7039581820956807,2015-12-08,2017-01-16,168,光环新网,软件服务
