code,buy_date,buy_price,shares,buy_technical_score,buy_trend_score,buy_momentum_score,break_ma20_date,break_ma60_date,break_ma120_date,technical_score_low,max_loss_after_ma60,holding_days
600320,2015-08-03,6.31313004,12800,0.203247605208467,0.0,0.6774920173615568,2015-08-06,2015-08-03,2015-08-03,0.016555783297129,-0.5720304123499411,782
600512,2015-08-03,4.83224102,15400,0.1822172181356894,0.0,0.6073907271189647,2015-08-18,2015-08-03,2015-08-03,0.0188810316535155,-0.598305092406173,782
600127,2015-08-03,7.73,9700,0.1418083665591402,0.0,0.4726945551971343,2015-08-03,2015-08-03,2015-08-03,0.0067183009932796,-0.6584734799482536,782
300324,2015-08-03,7.5909663,9400,0.12595271659134,0.0,0.4198423886378,2015-08-03,2015-08-03,2015-08-03,0.0043050697954803,-0.13608957795004306,782
601007,2015-08-03,11.50848834,6200,0.1931562441042499,0.0,0.6438541470141665,2015-08-24,2015-08-03,2015-08-03,0.0033576428631352,-0.5182026043569854,782
600651,2015-08-03,16.03721781,5000,0.2637277028668049,0.0,0.8790923428893498,2015-08-03,2015-08-03,2015-08-21,0.0249738424197897,-0.8123115844867359,782
600478,2015-11-03,13.73697195,2200,0.3179939685016352,0.0,0.8912192029059948,2015-11-27,2016-01-04,2016-01-11,0.0899689387656903,-0.7306867231391558,723
600751,2015-11-03,10.57135072,2700,0.2696491735099252,0.0,0.7451465101385701,2015-11-27,2015-12-25,2015-11-27,0.0413757888751139,-0.7321428571428572,723
600435,2015-11-03,14.7145344,1800,0.166893804875522,0.0,0.3867225101335542,2015-11-03,2015-11-03,2015-11-03,0.026736188084606,-0.5386654232158375,723
300036,2015-11-03,18.8710875,1400,0.3194886766906493,0.0,0.8872523364422922,2016-01-15,2016-01-15,2016-01-18,0.0590247154760041,-0.3593950269161754,723
300292,2015-11-03,9.515064,2900,0.2947691623934477,0.0,0.7838424971976854,2015-11-27,2015-12-31,2016-01-05,0.0890594338970949,-0.6878633711764839,723
600503,2015-11-03,11.06037128,2500,0.2009172416188681,0.0,0.6697241387295604,2015-11-03,2015-11-03,2015-11-03,0.018807252809221,-0.7362058021256588,723
600984,2015-11-03,5.61802416,4900,0.383282063645843,0.0,0.7394342675626742,2015-11-27,2016-01-07,2015-11-03,0.1032460321634847,-0.39233954451345754,723
300182,2015-11-03,12.2227997,2200,0.3219394750551783,0.0,0.8018777881026301,2015-11-03,2016-01-04,2016-01-07,0.0950451146637915,-0.6350989569108295,723
300256,2015-11-03,6.5656206,4100,0.2546669926874132,0.0,0.5879911607403464,2015-12-11,2016-01-04,2015-11-03,0.0722346303973058,-0.5720130401686627,723
300150,2015-11-03,10.97488,2500,0.3430635364869379,0.0,0.4768784549564596,2015-12-10,2016-01-04,2015-11-03,0.0649396549504141,-0.6594162141180586,723
600482,2015-11-03,35.76884076,700,0.2017613735973499,0.0,0.3904882596678648,2015-11-03,2015-11-03,2015-11-03,0.0207878759576126,-0.5569212783176595,723
600233,2015-11-03,7.93238664,3500,0.2726056582254516,0.0,0.6664251955585433,2015-12-01,2016-12-06,2015-11-03,0.1205119294950082,0.10163208080840613,723
600666,2015-11-03,10.25389378,2700,0.3212082324972972,0.0,0.4040274416576574,2016-01-04,2015-11-03,2015-11-03,0.0265252801939552,-0.8260467586002241,723
300063,2015-11-03,15.66904416,1700,0.3037464622549287,0.0,0.7635979938976101,2015-11-24,2015-12-09,2016-05-12,0.0585668626911139,-0.8257711209360712,723
601919,2015-11-03,4.90628995,5600,0.3659693645581266,0.0,0.5532312151937554,2015-12-25,2015-12-25,2015-11-03,0.0203266352512077,-0.7067927773000859,723
600576,2015-11-03,18.99,1400,0.2678051406231274,0.0,0.8671489066022885,2015-11-13,2016-01-07,2016-01-11,0.0593608434687716,-0.794102159031069,723
300316,2015-11-03,10.29298232,2600,0.0691971769952086,0.0,0.0798581493572715,2015-11-03,2015-11-03,2015-11-03,0.0404061782016098,-0.469050894085282,723
600191,2015-11-03,17.37486164,1700,0.8140902449920775,1.0,0.8886066019127661,2015-12-28,2016-01-04,2016-01-07,0.0841298426715492,-0.7990300416573561,723
600797,2015-11-03,12.63418494,2100,0.3062013894598483,0.0,0.7913798875955806,2015-11-27,2016-01-04,2015-11-03,0.015711268775629,-0.48886123792960723,723
600763,2015-11-03,38.41455024,700,0.3689248965110872,0.0,0.5630829883702907,2015-12-15,2015-12-15,2015-12-15,0.0334714015446438,-0.5907937658571947,723
300242,2015-11-03,18.12948248,1500,0.8348502992415409,1.0,0.9459049264817702,2016-01-22,2016-01-22,2016-01-26,0.0789522130660313,-0.8085990593593602,723
300291,2015-11-03,28.13600582,900,0.2455141497869534,0.0,0.4973792684432099,2015-12-02,2016-01-04,2015-11-03,0.0182598310431377,-0.8468154994147638,723
300073,2015-11-03,13.10267112,2100,0.2762712578641614,0.0,0.7707986987132491,2015-12-02,2016-01-05,2016-01-11,0.0342227658881247,-0.2485693848354792,723
300299,2015-11-03,18.73958279,1300,0.2804966789242878,0.0,0.9325138444385854,2015-11-30,2016-01-04,2016-01-08,0.0614782278161775,-0.8173129248199233,723
600515,2015-11-03,11.02909563,2500,0.3915901171841702,0.0,0.6386337239472339,2015-12-22,2015-12-22,2015-11-20,0.0163445942339741,-0.6942909760589319,723
600637,2015-11-03,20.45965867,1300,0.2703508393385289,0.0,0.4786294171698522,2015-11-18,2015-12-08,2015-11-03,0.0711953492594314,-0.6730685097006068,723
300383,2015-11-03,17.39662958,1500,0.0958694128038868,0.0,0.2631672407879535,2015-11-03,2015-11-03,2015-11-03,0.0240919047767406,-0.3820189105848628,723
300136,2015-11-03,17.59556106,1600,0.2508712159165662,0.0,0.6365955690507217,2015-11-03,2015-12-02,2015-12-02,0.0777913849299563,-0.20714781401804305,723
