date,cash,stock_value,total_value
2005-01-04,612323.5806641986,384507.93208700005,996831.5127511986
2005-01-05,612323.5806641986,391742.53816900006,1004066.1188331987
2005-01-06,612323.5806641986,387941.285535,1000264.8661991986
2005-01-07,612323.5806641986,390025.54951599997,1002349.1301801986
2005-01-10,612323.5806641986,393323.3351169999,1005646.9157811985
2005-01-11,612323.5806641986,394506.0775100001,1006829.6581741987
2005-01-12,612323.5806641986,396264.139429,1008587.7200931986
2005-01-13,612323.5806641986,396848.277209,1009171.8578731986
2005-01-14,612323.5806641986,391667.74886399996,1003991.3295281986
2005-01-17,612323.5806641986,384105.301435,996428.8820991986
2005-01-18,612323.5806641986,389768.945929,1002092.5265931985
2005-01-19,612323.5806641986,386088.104436,998411.6851001986
2005-01-20,612323.5806641986,381036.7619909999,993360.3426551985
2005-01-21,612323.5806641986,386415.33397800016,998738.9146421987
2005-01-24,612323.5806641986,394743.252706,1007066.8333701986
2005-01-25,612323.5806641986,392124.2198909999,1004447.8005551985
2005-01-26,612323.5806641986,388664.013865,1000987.5945291986
2005-01-27,612323.5806641986,381724.13593200006,994047.7165961987
2005-01-28,612323.5806641986,374951.949961,987275.5306251986
2005-01-31,612323.5806641986,362627.6025189999,974951.1831831986
2005-02-01,402176.10124942457,569184.6622450001,971360.7634944248
2005-02-02,402176.10124942457,599807.7756650001,1001983.8769144246
2005-02-03,402176.10124942457,590195.0461520002,992371.1474014248
2005-02-04,402176.10124942457,599854.6685029999,1002030.7697524244
2005-02-16,402176.10124942457,606128.7341370002,1008304.8353864248
2005-02-17,402176.10124942457,607687.0361630002,1009863.1374124247
2005-02-18,402176.10124942457,599183.6091099998,1001359.7103594244
2005-02-21,402176.10124942457,608295.9271730001,1010472.0284224246
2005-02-22,402176.10124942457,624403.4303550001,1026579.5316044246
2005-02-23,402176.10124942457,627372.6295619999,1029548.7308114246
2005-02-24,402176.10124942457,631235.2493099999,1033411.3505594244
2005-02-25,402176.10124942457,630319.789018,1032495.8902674245
2005-02-28,402176.10124942457,626849.444596,1029025.5458454245
2005-03-01,402176.10124942457,621748.5933070001,1023924.6945564246
2005-03-02,402176.10124942457,614849.711952,1017025.8132014247
2005-03-03,402176.10124942457,618437.483667,1020613.5849164245
2005-03-04,402176.10124942457,613525.2314629998,1015701.3327124245
2005-03-07,402176.10124942457,616593.192174,1018769.2934234245
2005-03-08,402176.10124942457,629420.3210970002,1031596.4223464248
2005-03-09,402176.10124942457,631786.954172,1033963.0554214246
2005-03-10,402176.10124942457,616915.072362,1019091.1736114246
2005-03-11,402176.10124942457,619062.8961480001,1021238.9973974247
2005-03-14,402176.10124942457,618483.1835309998,1020659.2847804243
2005-03-15,402176.10124942457,609510.9865269999,1011687.0877764244
2005-03-16,402176.10124942457,602229.8491930001,1004405.9504424247
2005-03-17,402176.10124942457,594919.194308,997095.2955574247
2005-03-18,402176.10124942457,581994.716131,984170.8173804246
2005-03-21,402176.10124942457,582968.8427760002,985144.9440254248
2005-03-22,402176.10124942457,569333.767188,971509.8684374245
2005-03-23,402176.10124942457,569130.3608840001,971306.4621334246
2005-03-24,402176.10124942457,574878.745034,977054.8462834246
2005-03-25,402176.10124942457,574538.307537,976714.4087864247
2005-03-28,402176.10124942457,573746.711882,975922.8131314246
2005-03-29,402176.10124942457,567840.017123,970016.1183724245
2005-03-30,402176.10124942457,551090.092816,953266.1940654246
2005-03-31,402176.10124942457,555561.965898,957738.0671474247
2005-04-01,402176.10124942457,576585.7267200003,978761.8279694249
2005-04-04,402176.10124942457,566592.8429080002,968768.9441574248
2005-04-05,402176.10124942457,559411.8075799999,961587.9088294245
2005-04-06,402176.10124942457,568229.4615129998,970405.5627624243
2005-04-07,402176.10124942457,575229.3784529998,977405.4797024243
2005-04-08,402176.10124942457,586744.1763630001,988920.2776124247
2005-04-11,402176.10124942457,585626.0134209999,987802.1146704245
2005-04-12,402176.10124942457,573151.7945299998,975327.8957794243
2005-04-13,402176.10124942457,586301.5824839999,988477.6837334244
2005-04-14,402176.10124942457,578271.2354450001,980447.3366944247
2005-04-15,402176.10124942457,565320.247929,967496.3491784246
2005-04-18,402176.10124942457,557494.466252,959670.5675014246
2005-04-19,402176.10124942457,558237.706658,960413.8079074246
2005-04-20,402176.10124942457,550266.6825059999,952442.7837554244
2005-04-21,402176.10124942457,545833.640498,948009.7417474245
2005-04-22,402176.10124942457,539269.8462890001,941445.9475384247
2005-04-25,402176.10124942457,526449.1661060001,928625.2673554246
2005-04-26,402176.10124942457,534194.6199590001,936370.7212084248
2005-04-27,402176.10124942457,528416.3917509998,930592.4930004245
2005-04-28,402176.10124942457,538763.0272199998,940939.1284694243
2005-04-29,402176.10124942457,530103.012725,932279.1139744245
2005-05-09,402176.10124942457,514994.97334,917171.0745894245
2005-05-10,547779.1157370228,368939.6508070001,916718.766544023
2005-05-11,547779.1157370228,367954.82187800016,915733.937615023
2005-05-12,547779.1157370228,365106.19655100006,912885.3122880228
2005-05-13,547779.1157370228,369161.0082440001,916940.123981023
2005-05-16,547779.1157370228,362761.04074900004,910540.1564860229
2005-05-17,547779.1157370228,369130.1504520001,916909.2661890229
2005-05-18,547779.1157370228,373844.321642,921623.4373790228
2005-05-19,547779.1157370228,373128.6838950001,920907.7996320229
2005-05-20,547779.1157370228,370313.774446,918092.8901830228
2005-05-23,547779.1157370228,358224.20827,906003.3240070229
2005-05-24,547779.1157370228,366534.1969259999,914313.3126630227
2005-05-25,547779.1157370228,368006.8133009998,915785.9290380226
2005-05-26,547779.1157370228,365124.75165000005,912903.8673870228
2005-05-27,547779.1157370228,362010.75577299995,909789.8715100228
2005-05-30,547779.1157370228,366359.8905110002,914139.006248023
2005-05-31,547779.1157370228,365025.4615409998,912804.5772780227
2005-06-01,547779.1157370228,356166.9343409999,903946.0500780228
2005-06-02,547779.1157370228,354853.47985699994,902632.5955940228
2005-06-03,547779.1157370228,354093.198174,901872.3139110229
2005-06-06,547779.1157370228,358477.143029,906256.2587660229
2005-06-07,547779.1157370228,359236.6762179999,907015.7919550227
2005-06-08,547779.1157370228,387869.82475699997,935648.9404940228
2005-06-09,547779.1157370228,393954.71887900005,941733.8346160229
2005-06-10,547779.1157370228,387146.9374810001,934926.0532180229
2005-06-13,547779.1157370228,388659.9047550001,936439.0204920229
2005-06-14,547779.1157370228,381960.2996850002,929739.415422023
2005-06-15,547779.1157370228,371373.4775390001,919152.5932760229
2005-06-16,547779.1157370228,374516.18726300006,922295.3030000229
2005-06-17,547779.1157370228,374360.68312799995,922139.7988650228
2005-06-20,547779.1157370228,385414.9740399999,933194.0897770227
2005-06-21,547779.1157370228,381115.606918,928894.7226550227
2005-06-22,547779.1157370228,382247.765748,930026.8814850228
2005-06-23,547779.1157370228,376370.8365329998,924149.9522700226
2005-06-24,547779.1157370228,377936.036678,925715.1524150228
2005-06-27,547779.1157370228,387468.4297430001,935247.5454800229
2005-06-28,547779.1157370228,381041.5332969999,928820.6490340228
2005-06-29,547779.1157370228,379654.11826099985,927433.2339980227
2005-06-30,547779.1157370228,369334.76035600004,917113.8760930229
2005-07-01,547779.1157370228,351729.9093310001,899509.025068023
2005-07-04,547779.1157370228,345232.82781600015,893011.943553023
2005-07-05,547779.1157370228,342168.1048279999,889947.2205650227
2005-07-06,547779.1157370228,340468.7197079998,888247.8354450227
2005-07-07,547779.1157370228,341951.88096199994,889730.9966990228
2005-07-08,547779.1157370228,330185.79353699996,877964.9092740228
2005-07-11,547779.1157370228,325604.55577800015,873383.671515023
2005-07-12,547779.1157370228,337265.47905399994,885044.5947910228
2005-07-13,547779.1157370228,334653.19515200006,882432.3108890229
2005-07-14,547779.1157370228,334031.36357800005,881810.4793150229
2005-07-15,547779.1157370228,324897.82113,872676.9368670229
2005-07-18,547779.1157370228,315538.88698899996,863318.0027260229
2005-07-19,547779.1157370228,317482.6673119999,865261.7830490228
2005-07-20,547779.1157370228,318903.33365899994,866682.4493960228
2005-07-21,547779.1157370228,318838.78268399986,866617.8984210227
2005-07-22,547779.1157370228,327041.6763749999,874820.7921120228
2005-07-25,547779.1157370228,325959.45066200005,873738.5663990229
2005-07-26,547779.1157370228,335944.23432599986,883723.3500630227
2005-07-27,547779.1157370228,343853.1630820001,891632.2788190229
2005-07-28,547779.1157370228,342566.7258769999,890345.8416140227
2005-07-29,547779.1157370228,341037.8049679999,888816.9207050228
2005-08-01,547779.1157370228,344754.7887480001,892533.9044850229
2005-08-02,447914.87267063797,455718.37023299997,903633.2429036379
2005-08-03,447914.87267063797,462554.5193900001,910469.392060638
2005-08-04,447914.87267063797,457459.3395119999,905374.2121826379
2005-08-05,447914.87267063797,470913.0213229999,918827.8939936379
2005-08-08,447914.87267063797,476169.618655,924084.491325638
2005-08-09,447914.87267063797,487514.67852,935429.551190638
2005-08-10,447914.87267063797,496212.896615,944127.7692856379
2005-08-11,447914.87267063797,500400.6710009999,948315.5436716379
2005-08-12,447914.87267063797,490675.7646390001,938590.6373096381
2005-08-15,447914.87267063797,505369.9325049999,953284.8051756378
2005-08-16,447914.87267063797,507094.3722380001,955009.2449086381
2005-08-17,447914.87267063797,521283.98949699994,969198.8621676379
2005-08-18,447914.87267063797,504588.3241130002,952503.1967836381
2005-08-19,447914.87267063797,509570.9096230001,957485.782293638
2005-08-22,447914.87267063797,512472.6878399999,960387.5605106379
2005-08-23,447914.87267063797,499486.83055499993,947401.7032256379
2005-08-24,447914.87267063797,504267.53684200015,952182.4095126381
2005-08-25,447914.87267063797,513528.1179410001,961442.9906116381
2005-08-26,447914.87267063797,521028.885048,968943.757718638
2005-08-29,447914.87267063797,516953.9202910003,964868.7929616382
2005-08-30,447914.87267063797,512537.2825370001,960452.155207638
2005-08-31,447914.87267063797,520546.57966300007,968461.452333638
2005-09-01,447914.87267063797,536228.331214,984143.2038846379
2005-09-02,447914.87267063797,538960.546543,986875.419213638
2005-09-05,447914.87267063797,548168.370582,996083.243252638
2005-09-06,447914.87267063797,532094.048798,980008.9214686379
2005-09-07,447914.87267063797,547043.613206,994958.485876638
2005-09-08,447914.87267063797,548542.2697560001,996457.1424266382
2005-09-09,447914.87267063797,540089.321596,988004.194266638
2005-09-12,447914.87267063797,543435.614659,991350.4873296379
2005-09-13,447914.87267063797,557353.938155,1005268.810825638
2005-09-14,447914.87267063797,563881.495922,1011796.368592638
2005-09-15,447914.87267063797,565867.0276869999,1013781.9003576378
2005-09-16,447914.87267063797,565675.759335,1013590.632005638
2005-09-19,447914.87267063797,575897.100139,1023811.9728096379
2005-09-20,447914.87267063797,575721.8936849999,1023636.7663556379
2005-09-21,447914.87267063797,566394.0936459998,1014308.9663166378
2005-09-22,447914.87267063797,540915.0781539999,988829.9508246379
2005-09-23,447914.87267063797,532029.8162130002,979944.6888836382
2005-09-26,447914.87267063797,537608.72136,985523.594030638
2005-09-27,447914.87267063797,519723.593056,967638.465726638
2005-09-28,447914.87267063797,517501.656291,965416.528961638
2005-09-29,447914.87267063797,532053.9300320002,979968.8027026381
2005-09-30,447914.87267063797,528352.987052,976267.859722638
2005-10-10,447914.87267063797,513982.91117000015,961897.7838406381
2005-10-11,447914.87267063797,528907.9478389999,976822.8205096379
2005-10-12,447914.87267063797,534700.0815700002,982614.9542406381
2005-10-13,447914.87267063797,532266.1468,980181.0194706379
2005-10-14,447914.87267063797,524791.2578360001,972706.130506638
2005-10-17,447914.87267063797,526721.242039,974636.1147096381
2005-10-18,447914.87267063797,535563.5196820002,983478.3923526381
2005-10-19,447914.87267063797,533181.230996,981096.103666638
2005-10-20,447914.87267063797,533665.6679730001,981580.540643638
2005-10-21,447914.87267063797,537567.351362,985482.2240326379
2005-10-24,447914.87267063797,540074.0777449999,987988.9504156378
2005-10-25,447914.87267063797,523762.4946609999,971677.3673316379
2005-10-26,447914.87267063797,506683.34111599997,954598.2137866379
2005-10-27,447914.87267063797,501009.86812400003,948924.7407946379
2005-10-28,447914.87267063797,485190.09142400004,933104.964094638
2005-10-31,447914.87267063797,488158.69979300007,936073.572463638
2005-11-01,492122.3415953781,436632.2909499998,928754.632545378
2005-11-02,492122.3415953781,443421.12961099984,935543.471206378
2005-11-03,492122.3415953781,439236.385141,931358.7267363782
2005-11-04,492122.3415953781,441731.8094689998,933854.151064378
2005-11-07,492122.3415953781,443174.151903,935296.4934983782
2005-11-08,492122.3415953781,444996.2051150001,937118.5467103783
2005-11-09,492122.3415953781,443389.07987399993,935511.421469378
2005-11-10,492122.3415953781,429778.08377,921900.4253653781
2005-11-11,492122.3415953781,430618.6130110001,922740.9546063782
2005-11-14,492122.3415953781,429547.2335329997,921669.5751283779
2005-11-15,492122.3415953781,426402.5405579999,918524.8821533781
2005-11-16,492122.3415953781,427213.1340450001,919335.4756403782
2005-11-17,492122.3415953781,427187.31603799993,919309.657633378
2005-11-18,492122.3415953781,438216.96635999985,930339.307955378
2005-11-21,492122.3415953781,440691.9684159999,932814.310011378
2005-11-22,492122.3415953781,432834.036592,924956.3781873782
2005-11-23,492122.3415953781,437559.87911800016,929682.2207133783
2005-11-24,492122.3415953781,437498.081929,929620.4235243781
2005-11-25,492122.3415953781,436764.78181499994,928887.1234103781
2005-11-28,492122.3415953781,434682.58983,926804.9314253782
2005-11-29,492122.3415953781,428689.7393769999,920812.080972378
2005-11-30,492122.3415953781,426357.5679969998,918479.909592378
2005-12-01,492122.3415953781,425597.742544,917720.084139378
2005-12-02,492122.3415953781,421468.1133599998,913590.4549553778
2005-12-05,492122.3415953781,410125.86521400005,902248.2068093782
2005-12-06,492122.3415953781,411223.16349799995,903345.505093378
2005-12-07,492122.3415953781,414870.956856,906993.2984513781
2005-12-08,492122.3415953781,414158.42134600005,906280.7629413782
2005-12-09,492122.3415953781,419543.79750500014,911666.1391003783
2005-12-12,492122.3415953781,422254.50397099997,914376.8455663781
2005-12-13,492122.3415953781,422196.8874360001,914319.2290313782
2005-12-14,492122.3415953781,426117.8136410001,918240.1552363782
2005-12-15,492122.3415953781,424688.8547860001,916811.1963813782
2005-12-16,492122.3415953781,427244.1795869999,919366.521182378
2005-12-19,492122.3415953781,427430.5797780001,919552.9213733783
2005-12-20,492122.3415953781,428612.496136,920734.8377313782
2005-12-21,492122.3415953781,425648.33078300004,917770.6723783782
2005-12-22,492122.3415953781,428371.72820400004,920494.0697993782
2005-12-23,492122.3415953781,433097.85299800016,925220.1945933783
2005-12-26,492122.3415953781,435196.0008,927318.342395378
2005-12-27,492122.3415953781,433793.6586619998,925916.000257378
2005-12-28,492122.3415953781,434730.287422,926852.6290173782
2005-12-29,492122.3415953781,439785.73231700005,931908.0739123782
2005-12-30,492122.3415953781,436267.5285120001,928389.8701073782
2006-01-04,492122.3415953781,441553.81490900007,933676.1565043782
2006-01-05,492122.3415953781,448639.336711,940761.6783063782
2006-01-06,492122.3415953781,453980.8896289999,946103.2312243781
2006-01-09,492122.3415953781,459767.197015,951889.538610378
2006-01-10,492122.3415953781,458845.78847599984,950968.130071378
2006-01-11,492122.3415953781,455222.0419309999,947344.3835263781
2006-01-12,492122.3415953781,464088.3128990002,956210.6544943783
2006-01-13,492122.3415953781,464578.81037,956701.1519653781
2006-01-16,492122.3415953781,455749.75303099974,947872.0946263778
2006-01-17,492122.3415953781,455975.6826389999,948098.024234378
2006-01-18,492122.3415953781,464525.82710999995,956648.1687053781
2006-01-19,492122.3415953781,469088.99774599995,961211.3393413781
2006-01-20,492122.3415953781,470613.4890699999,962735.830665378
2006-01-23,492122.3415953781,472109.0787559999,964231.420351378
2006-01-24,492122.3415953781,470979.976458,963102.3180533781
2006-01-25,492122.3415953781,469555.4299619999,961677.771557378
2006-02-06,492122.3415953781,479651.1986209999,971773.5402163779
2006-02-07,1025.4847398796264,968769.0721900001,969794.5569298797
2006-02-08,1025.4847398796264,968480.5224109998,969506.0071508794
2006-02-09,1025.4847398796264,955777.7954289999,956803.2801688795
2006-02-10,1025.4847398796264,964726.871833,965752.3565728796
2006-02-13,1025.4847398796264,955269.3683640002,956294.8531038798
2006-02-14,1025.4847398796264,962201.8954630002,963227.3802028798
2006-02-15,1025.4847398796264,956948.4360750001,957973.9208148797
2006-02-16,1025.4847398796264,929850.6801809999,930876.1649208795
2006-02-17,1025.4847398796264,920806.389036,921831.8737758796
2006-02-20,1025.4847398796264,918148.5405989999,919174.0253388796
2006-02-21,1025.4847398796264,929753.6005269997,930779.0852668793
2006-02-22,1025.4847398796264,933369.2880940001,934394.7728338797
2006-02-23,1025.4847398796264,927283.24494,928308.7296798796
2006-02-24,1025.4847398796264,933754.3859450002,934779.8706848798
2006-02-27,1025.4847398796264,925486.9409020002,926512.4256418798
2006-02-28,1025.4847398796264,927999.72445,929025.2091898796
2006-03-01,1025.4847398796264,936216.2756180001,937241.7603578797
2006-03-02,1025.4847398796264,916510.668413,917536.1531528796
2006-03-03,1025.4847398796264,918326.8989720001,919352.3837118797
2006-03-06,1025.4847398796264,917111.3253949998,918136.8101348794
2006-03-07,1025.4847398796264,889761.2014490002,890786.6861888798
2006-03-08,1025.4847398796264,885433.164741,886458.6494808797
2006-03-09,1025.4847398796264,877304.3604489999,878329.8451888795
2006-03-10,1025.4847398796264,879134.195929,880159.6806688796
2006-03-13,1025.4847398796264,892539.4108900002,893564.8956298798
2006-03-14,1025.4847398796264,892625.701047,893651.1857868796
2006-03-15,1025.4847398796264,904867.3230480001,905892.8077878797
2006-03-16,1025.4847398796264,907006.136939,908031.6216788796
2006-03-17,1025.4847398796264,905547.3052780001,906572.7900178797
2006-03-20,1025.4847398796264,905634.208101,906659.6928408797
2006-03-21,1025.4847398796264,911016.0978619999,912041.5826018795
2006-03-22,1025.4847398796264,918789.4791740001,919814.9639138797
2006-03-23,1025.4847398796264,923083.7180390002,924109.2027788798
2006-03-24,1025.4847398796264,919493.5705620002,920519.0553018798
2006-03-27,1025.4847398796264,930727.7701910001,931753.2549308797
2006-03-28,1025.4847398796264,932475.8484060002,933501.3331458798
2006-03-29,1025.4847398796264,934505.275405,935530.7601448796
2006-03-30,1025.4847398796264,925256.9438600001,926282.4285998797
2006-03-31,1025.4847398796264,931505.4162310001,932530.9009708797
2006-04-03,1025.4847398796264,949470.2199510001,950495.7046908797
2006-04-04,1025.4847398796264,956837.945978,957863.4307178796
2006-04-05,1025.4847398796264,961756.818441,962782.3031808796
2006-04-06,1025.4847398796264,962354.9525830003,963380.4373228799
2006-04-07,1025.4847398796264,971356.266793,972381.7515328797
2006-04-10,1025.4847398796264,990674.4434790001,991699.9282188797
2006-04-11,1025.4847398796264,992942.3517790001,993967.8365188797
2006-04-12,1025.4847398796264,992430.246574,993455.7313138796
2006-04-13,1025.4847398796264,974464.9722920002,975490.4570318798
2006-04-14,1025.4847398796264,999946.234401,1000971.7191408796
2006-04-17,1025.4847398796264,1012826.7210550001,1013852.2057948797
2006-04-18,1025.4847398796264,1016195.4569600002,1017220.9416998798
2006-04-19,1025.4847398796264,1026572.4765470001,1027597.9612868797
2006-04-20,1025.4847398796264,1013267.140198,1014292.6249378796
2006-04-21,1025.4847398796264,1016360.1378420001,1017385.6225818797
2006-04-24,1025.4847398796264,1013786.0293980001,1014811.5141378797
2006-04-25,1025.4847398796264,1020359.615141,1021385.0998808796
2006-04-26,1025.4847398796264,1037980.1134629999,1039005.5982028795
2006-04-27,1025.4847398796264,1057223.6320739998,1058249.1168138795
2006-04-28,1025.4847398796264,1069511.714003,1070537.1987428796
2006-05-08,1025.4847398796264,1106658.472146,1107683.9568858796
2006-05-09,204536.01348981314,952958.1562349998,1157494.169724813
2006-05-10,204536.01348981314,969411.7359509999,1173947.749440813
2006-05-11,204536.01348981314,960312.7442450001,1164848.7577348133
2006-05-12,204536.01348981314,988761.0894069999,1193297.102896813
2006-05-15,204536.01348981314,1035337.340484,1239873.3539738131
2006-05-16,204536.01348981314,1001607.4790690001,1206143.4925588132
2006-05-17,204536.01348981314,1017035.9619250003,1221571.9754148135
2006-05-18,204536.01348981314,1022557.6607579999,1227093.674247813
2006-05-19,204536.01348981314,1052430.27275,1256966.286239813
2006-05-22,204536.01348981314,1069844.840932,1274380.854421813
2006-05-23,204536.01348981314,1023754.2847900002,1228290.2982798133
2006-05-24,204536.01348981314,1012094.6726730003,1216630.6861628133
2006-05-25,204536.01348981314,1024641.4083959997,1229177.421885813
2006-05-26,204536.01348981314,1042721.6457210003,1247257.6592108135
2006-05-29,204536.01348981314,1069376.092366,1273912.105855813
2006-05-30,204536.01348981314,1085154.9486380003,1289690.9621278134
2006-05-31,204536.01348981314,1081537.9006930003,1286073.9141828134
2006-06-01,204536.01348981314,1114586.9486449999,1319122.962134813
2006-06-02,204536.01348981314,1113462.0254549999,1317998.038944813
2006-06-05,204536.01348981314,1126948.9467709998,1331484.960260813
2006-06-06,204536.01348981314,1119863.048686,1324399.0621758131
2006-06-07,204536.01348981314,1052288.4790360003,1256824.4925258134
2006-06-08,204536.01348981314,1055430.7917519999,1259966.805241813
2006-06-09,204536.01348981314,1035542.6226979999,1240078.636187813
2006-06-12,204536.01348981314,1035753.3814630001,1240289.3949528132
2006-06-13,204536.01348981314,1032043.4085889999,1236579.422078813
2006-06-14,204536.01348981314,1022992.7413259997,1227528.754815813
2006-06-15,204536.01348981314,1023954.4326730003,1228490.4461628133
2006-06-16,204536.01348981314,1045227.0776629999,1249763.091152813
2006-06-19,204536.01348981314,1051152.946315,1255688.9598048131
2006-06-20,204536.01348981314,1057644.7288510003,1262180.7423408134
2006-06-21,204536.01348981314,1058063.0926939999,1262599.106183813
2006-06-22,204536.01348981314,1058413.6834779999,1262949.696967813
2006-06-23,204536.01348981314,1069022.069103,1273558.082592813
2006-06-26,204536.01348981314,1085932.7177660002,1290468.7312558133
2006-06-27,204536.01348981314,1088477.337824,1293013.3513138131
2006-06-28,204536.01348981314,1087401.3399919998,1291937.3534818129
2006-06-29,204536.01348981314,1105765.4365560003,1310301.4500458133
2006-06-30,204536.01348981314,1102864.4426390002,1307400.4561288133
2006-07-03,204536.01348981314,1121461.2531550007,1325997.2666448138
2006-07-04,204536.01348981314,1118815.2890640004,1323351.3025538134
2006-07-05,204536.01348981314,1109756.8315180005,1314292.8450078135
2006-07-06,204536.01348981314,1140472.0123750004,1345008.0258648135
2006-07-07,204536.01348981314,1140106.8576209997,1344642.8711108128
2006-07-10,204536.01348981314,1150324.3355340003,1354860.3490238134
2006-07-11,204536.01348981314,1156054.8650709998,1360590.878560813
2006-07-12,204536.01348981314,1149657.3786760003,1354193.3921658134
2006-07-13,204536.01348981314,1080889.0575020001,1285425.0709918132
2006-07-14,204536.01348981314,1087900.401573,1292436.415062813
2006-07-17,204536.01348981314,1109990.6716840002,1314526.6851738133
2006-07-18,204536.01348981314,1114652.5321620002,1319188.5456518133
2006-07-19,204536.01348981314,1084234.1882010002,1288770.2016908133
2006-07-20,204536.01348981314,1087486.6363269996,1292022.6498168127
2006-07-21,204536.01348981314,1097717.2124860003,1302253.2259758133
2006-07-24,204536.01348981314,1100756.9696240004,1305292.9831138134
2006-07-25,204536.01348981314,1114152.785025,1318688.7985148132
2006-07-26,204536.01348981314,1115770.3147940005,1320306.3282838135
2006-07-27,204536.01348981314,1099966.448938,1304502.462427813
2006-07-28,204536.01348981314,1092709.0965050003,1297245.1099948133
2006-07-31,204536.01348981314,1053647.2199630002,1258183.2334528132
2006-08-01,177091.93782185725,1061551.773071,1238643.710892857
2006-08-02,177091.93782185725,1052388.084965,1229480.022786857
2006-08-03,177091.93782185725,1048864.580344,1225956.518165857
2006-08-04,177091.93782185725,1013172.0489669999,1190263.986788857
2006-08-07,177091.93782185725,988323.3527940001,1165415.2906158573
2006-08-08,177091.93782185725,1020221.0599689999,1197312.9977908572
2006-08-09,177091.93782185725,1022146.228088,1199238.1659098573
2006-08-10,177091.93782185725,1039559.9539790001,1216651.8918008574
