month,return
2005-01,-2.19
2005-02,5.94
2005-03,-6.46
2005-04,-4.75
2005-05,-0.48
2005-06,1.46
2005-07,-1.19
2005-08,8.51
2005-09,-0.8
2005-10,-2.68
2005-11,-1.11
2005-12,1.16
2006-01,3.0
2006-02,-4.4
2006-03,-0.5
2006-04,12.63
2006-05,16.1
2006-06,-0.89
2006-07,-5.11
2006-08,3.57
2006-09,5.47
2006-10,-2.31
2006-11,8.17
2006-12,5.79
2007-01,23.48
2007-02,9.59
2007-03,13.81
2007-04,26.64
2007-05,2.02
2007-06,-6.42
2007-07,12.19
2007-08,11.24
2007-09,0.44
2007-10,-6.95
2007-11,-5.04
2007-12,11.07
2008-01,-7.62
2008-02,5.54
2008-03,-14.45
2008-04,3.42
2008-05,-2.68
2008-06,-6.76
2008-07,2.17
2008-08,-7.17
2008-09,-0.64
2008-10,-6.88
2008-11,5.9
2008-12,0.2
2009-01,4.44
2009-02,5.25
2009-03,8.76
2009-04,0.68
2009-05,3.06
2009-06,2.41
2009-07,8.03
2009-08,-15.83
2009-09,4.17
2009-10,6.97
2009-11,8.72
2009-12,0.63
2010-01,-4.72
2010-02,7.89
2010-03,2.87
2010-04,-7.66
2010-05,-0.21
2010-06,-3.28
2010-07,4.78
2010-08,5.12
2010-09,2.4
2010-10,4.16
2010-11,-3.82
2010-12,-0.59
2011-01,-5.2
2011-02,8.79
2011-03,-2.72
2011-04,-4.23
2011-05,-9.19
2011-06,3.36
2011-07,0.15
2011-08,-3.93
2011-09,-9.75
2011-10,2.85
2011-11,-1.58
2011-12,-9.01
2012-01,2.18
2012-02,10.74
2012-03,-6.37
2012-04,-0.13
2012-05,3.52
2012-06,-2.15
2012-07,-4.41
2012-08,-0.66
2012-09,-1.44
2012-10,0.36
2012-11,-7.09
2012-12,8.93
2013-01,4.64
2013-02,5.6
2013-03,-3.38
2013-04,-3.98
2013-05,11.41
2013-06,-10.05
2013-07,3.32
2013-08,4.58
2013-09,3.39
2013-10,-4.32
2013-11,5.1
2013-12,1.2
2014-01,4.27
2014-02,0.07
2014-03,-8.03
2014-04,-4.0
2014-05,1.58
2014-06,2.54
2014-07,1.86
2014-08,6.25
2014-09,8.14
2014-10,-0.43
2014-11,3.53
2014-12,-2.9
2015-01,6.91
2015-02,8.02
2015-03,20.66
2015-04,16.61
2015-05,17.87
2015-06,-15.26
2015-07,-10.49
2015-08,-8.57
2015-09,0.92
2015-10,9.83
2015-11,7.32
2015-12,2.69
2016-01,-9.53
2016-02,0.97
2016-03,6.74
2016-04,-1.43
2016-05,-2.28
2016-06,3.16
2016-07,-1.97
2016-08,3.29
2016-09,-1.71
2016-10,1.58
2016-11,0.17
2016-12,-4.47
2017-01,-2.95
2017-02,3.8
2017-03,-2.74
2017-04,-9.92
2017-05,-7.91
2017-06,6.8
2017-07,1.86
2017-08,3.62
2017-09,-0.12
2017-10,-1.39
2017-11,0.96
2017-12,-1.31
2018-01,-0.39
2018-02,2.43
2018-03,-3.29
2018-04,-3.26
2018-05,0.87
2018-06,-3.08
2018-07,0.3
2018-08,-4.51
2018-09,-0.59
2018-10,-6.96
2018-11,0.43
2018-12,-2.91
2019-01,0.94
2019-02,18.36
2019-03,-1.36
2019-04,-11.72
2019-05,3.55
2019-06,1.63
2019-07,-1.75
2019-08,3.86
2019-09,-4.72
2019-10,-1.95
2019-11,-2.24
2019-12,4.59
2020-01,3.06
2020-02,8.78
2020-03,-7.21
2020-04,7.95
2020-05,1.84
2020-06,4.6
2020-07,13.81
2020-08,-0.37
2020-09,-8.28
2020-10,-2.35
2020-11,0.2
2020-12,3.99
2021-01,-2.39
2021-02,-4.78
2021-03,-5.34
2021-04,4.13
2021-05,1.46
2021-06,3.23
2021-07,0.87
2021-08,3.78
2021-09,-1.17
2021-10,-1.27
2021-11,1.45
2021-12,-2.91
2022-01,-6.31
2022-02,2.59
2022-03,-4.12
2022-04,-6.38
2022-05,2.54
2022-06,0.71
2022-07,0.35
2022-08,19.19
2022-09,-12.09
2022-10,9.11
2022-11,0.56
2022-12,-2.91
2023-01,1.79
2023-02,-3.95
2023-03,-2.44
2023-04,-10.49
2023-05,-0.91
2023-06,-0.66
2023-07,-2.15
2023-08,0.95
2023-09,-0.61
2023-10,-2.07
2023-11,1.15
2023-12,-0.91
2024-01,-5.53
2024-02,5.64
2024-03,1.53
2024-04,-2.99
2024-05,-2.45
2024-06,-3.42
2024-07,-4.11
2024-08,-4.07
2024-09,18.9
2024-10,-5.05
2024-11,2.3
2024-12,-2.4
2025-01,1.46
2025-02,3.11
2025-03,-1.47
2025-04,-0.66
2025-05,1.51
2025-06,3.41
2025-07,1.69
2025-08,19.29
2025-09,-0.86
2025-10,-0.95
2025-11,-2.92
2025-12,6.46
2026-01,7.12
2026-02,7.04
2026-03,-9.54
2026-04,14.91
2026-05,0.91
2026-06,9.68
2026-07,-24.19
