date,code,action,price,shares
2005-01-04,600320,BUY,1.6676248188599998,2900
2005-01-04,001696,BUY,0.7749421679999999,6300
2005-01-04,000153,BUY,2.73884008398,1800
2005-01-04,000923,BUY,3.5591117561999996,1300
2005-01-04,600120,BUY,0.6020786772,8200
2005-01-04,000503,BUY,10.325120345539998,400
2005-01-04,600362,BUY,3.8122520235799997,1200
2005-01-04,600062,BUY,1.7361220376499997,2800
2005-01-04,000403,BUY,1.9760768026999997,2400
2005-01-04,000960,BUY,3.5943951643599994,1300
2005-01-04,600838,BUY,3.5437000098499998,1300
2005-01-04,000050,BUY,4.1534101108499994,1100
2005-01-04,600682,BUY,1.9959153213999998,2400
2005-01-04,000543,BUY,2.1690256087499997,2200
2005-01-04,600496,BUY,0.6588369787999999,7400
2005-01-04,001896,BUY,3.7637599999999996,1300
2005-01-04,600303,BUY,2.3791243475999995,2000
2005-01-04,600875,BUY,4.64775715404,1000
2005-01-04,000776,BUY,1.0750203664199998,4500
2005-01-04,600067,BUY,1.4093619539999998,3500
2005-01-04,600808,BUY,2.3712646557599997,2000
2005-01-04,000678,BUY,1.8537381462599998,2600
2005-01-04,600733,BUY,1.6468913260799998,2900
2005-01-04,600797,BUY,3.8530599307199993,1200
2005-01-04,000407,BUY,1.5562791243999998,3100
2005-01-04,600519,BUY,7.725427709999999,600
2005-01-04,000972,BUY,3.21431796686,1500
2005-01-04,600199,BUY,1.39567873445,3500
2005-01-04,600016,BUY,0.51293548306,9600
2005-01-04,600383,BUY,0.6696877186999999,7300
2005-01-04,600630,BUY,3.7591108054499998,1300
2005-01-04,600698,BUY,1.8818799999999998,2600
2005-01-04,600475,BUY,2.2983266205899997,2100
2005-01-04,000518,BUY,2.45245,2000
2005-01-04,000708,BUY,1.8001890906999998,2700
2005-01-04,000629,BUY,1.40066139213,3500
2005-01-04,000025,BUY,2.24970441696,2100
2005-01-04,600789,BUY,1.5860781336399998,3100
2005-01-04,600563,BUY,5.8412896542,800
2005-01-04,000635,BUY,5.696145655199999,800
2005-01-04,000920,BUY,5.9174184068999995,800
2005-01-04,600396,BUY,1.7624523216299997,2800
2005-01-04,000988,BUY,2.9832798995999994,1600
2005-01-04,000410,BUY,3.8191098545599993,1200
2005-01-04,000725,BUY,2.6642975358999994,1800
2005-01-04,000519,BUY,3.7866197368999996,1300
2005-01-04,600685,BUY,3.4990405449999997,1400
2005-01-04,000868,BUY,1.1879890022,4100
2005-01-04,600426,BUY,1.02402447147,4800
2005-01-04,600616,BUY,3.89702130818,1200
2005-01-04,000938,BUY,5.121107351359999,900
2005-01-04,000815,BUY,2.6583528972,1800
2005-01-04,600523,BUY,2.0040013293299994,2400
2005-01-04,000880,BUY,1.5765448198499998,3100
2005-01-04,000567,BUY,0.7532807281999999,6500
2005-01-04,000888,BUY,2.40104665801,2000
2005-01-04,000955,BUY,2.3101423244899997,2100
2005-01-04,000049,BUY,1.9894498623999999,2400
2005-01-04,000885,BUY,1.03005590688,4700
2005-01-04,000828,BUY,2.6913122235999998,1800
2005-01-04,000070,BUY,2.3712562073199996,2000
2005-01-04,600095,BUY,2.3448351726799994,2100
2005-01-04,600031,BUY,0.45339946651999996,10800
2005-01-04,000089,BUY,3.6205328158999994,1300
2005-01-04,600784,BUY,1.7046744915199998,2800
2005-01-04,000795,BUY,2.1108836748999997,2300
2005-01-04,000800,BUY,2.66737929458,1800
2005-01-04,600202,BUY,4.11801549159,1100
2005-01-04,600710,BUY,1.9835100284999998,2400
2005-01-04,000507,BUY,2.1013264271999996,2300
2005-01-04,600623,BUY,5.15871343988,900
2005-01-04,600780,BUY,3.5132394296999996,1400
2005-01-04,600176,BUY,0.49375878551999997,10000
2005-01-04,000738,BUY,2.5356256925999996,1900
2005-01-04,000514,BUY,2.01833961329,2400
2005-01-04,000829,BUY,1.4140171645599997,3400
2005-01-04,600380,BUY,2.0487604137,2400
2005-01-04,000061,BUY,1.0318502594399999,4700
2005-01-04,000573,BUY,2.3681422764999995,2000
2005-01-04,600267,BUY,5.5826186416,800
2005-01-04,600026,BUY,6.206151071119999,700
2005-02-01,000403,SELL,1.4368953663000001,2400
2005-02-01,000708,SELL,1.39998608253,2700
2005-02-01,600838,SELL,3.21429485763,1300
2005-02-01,000050,SELL,3.7704665092500003,1100
2005-02-01,600682,SELL,2.0199827952,2400
2005-02-01,000061,SELL,0.8415476899200001,4700
2005-02-01,600523,SELL,1.89789536484,2400
2005-02-01,000795,SELL,2.00725042032,2300
2005-02-01,000543,SELL,1.83483407925,2200
2005-02-01,000868,SELL,1.0755732501000002,4100
2005-02-01,000070,SELL,2.31428627712,2000
2005-02-01,600623,SELL,4.44705156693,900
2005-02-01,600362,SELL,3.43906521228,1200
2005-02-01,600590,BUY,2.2790643875999996,6500
2005-02-01,600580,BUY,1.3217499495199998,11200
2005-02-01,600469,BUY,2.8347182864,5200
2005-02-01,000690,BUY,0.50224928754,29500
2005-02-01,600166,BUY,0.7312644739399999,20200
2005-02-01,000731,BUY,4.175912941199999,3500
2005-02-01,600126,BUY,2.8193357191999997,5200
2005-02-01,600408,BUY,3.7156497377999993,3900
2005-02-01,600308,BUY,2.0189200031,7300
2005-02-01,000157,BUY,0.3430915488,43100
2005-02-01,600323,BUY,2.48205382425,5900
2005-02-01,600301,BUY,6.905969069999999,2100
2005-02-01,600398,BUY,1.3501199711999998,10900
2005-02-01,000807,BUY,1.2373459097999997,11900
2005-02-01,000969,BUY,2.5739891677499998,5700
2005-02-01,600276,BUY,0.4587117635099999,32300
2005-02-01,600499,BUY,0.6185549369999999,23900
2005-02-01,000717,BUY,3.4698553089199997,4200
2005-05-10,600469,SELL,3.42517671468,5200
2005-05-10,600320,SELL,2.13203535048,2900
2005-05-10,600166,SELL,0.51236594118,20200
2005-05-10,000153,SELL,2.0842327809,1800
2005-05-10,000731,SELL,4.36121410032,3500
2005-05-10,600126,SELL,2.09080063647,5200
2005-05-10,600308,SELL,1.86332396085,7300
2005-05-10,000988,SELL,2.2642797736799998,1600
2005-05-10,600301,SELL,4.63746151638,2100
2005-05-10,000923,SELL,1.9958860760400001,1300
2005-05-10,600120,SELL,0.48070057824,8200
2005-05-10,000410,SELL,3.73722966936,1200
2005-05-10,000519,SELL,3.1608446913,1300
2005-05-10,600685,SELL,2.10221377191,1400
2005-05-10,600062,SELL,1.9600898481,2800
2005-05-10,600426,SELL,1.1628865294200001,4800
2005-05-10,600616,SELL,4.7653761537,1200
2005-05-10,000815,SELL,2.365114518,1800
2005-05-10,000880,SELL,1.47402257193,3100
2005-05-10,600398,SELL,1.28245741884,10900
2005-05-10,000567,SELL,0.6278342772600001,6500
2005-05-10,000888,SELL,2.19700164915,2000
2005-05-10,000049,SELL,2.03156632008,2400
2005-05-10,000828,SELL,2.4716095663499997,1800
2005-05-10,000885,SELL,1.02799785312,4700
2005-05-10,600303,SELL,1.88613928269,2000
2005-05-10,600499,SELL,0.49863087,23900
2005-05-10,600095,SELL,1.6813395774,2100
2005-05-10,000776,SELL,0.8738175177899999,4500
2005-05-10,600733,SELL,1.0272505212,2900
2005-05-10,600031,SELL,0.44488202265,10800
2005-05-10,600580,SELL,1.14879611394,11200
2005-05-10,000690,SELL,0.43703796456,29500
2005-05-10,600797,SELL,3.2044679244,1200
2005-05-10,000089,SELL,3.41304385968,1300
2005-05-10,000407,SELL,1.1623721443200001,3100
2005-05-10,600519,SELL,10.730445313499999,600
2005-05-10,000972,SELL,2.5512599862,1500
2005-05-10,600199,SELL,0.82242320355,3500
2005-05-10,600276,SELL,0.57215033694,32300
2005-05-10,600016,SELL,0.5590764139500001,9600
2005-05-10,000807,SELL,0.9860558571,11900
2005-05-10,600202,SELL,4.0686310162799995,1100
2005-05-10,600710,SELL,1.0712842434,2400
2005-05-10,600383,SELL,0.65112417405,7300
2005-05-10,600630,SELL,2.39712629418,1300
2005-05-10,600698,SELL,1.40859,2600
2005-05-10,000507,SELL,2.0097476405999997,2300
2005-05-10,000518,SELL,1.71828,2000
2005-05-10,600780,SELL,2.3200732143900002,1400
2005-05-10,600176,SELL,0.60721389828,10000
2005-05-10,000738,SELL,1.4801385798,1900
2005-05-10,000629,SELL,1.29746387736,3500
2005-05-10,000514,SELL,1.33081681104,2400
2005-05-10,000829,SELL,1.0865641482,3400
2005-05-10,000025,SELL,2.0564231183999997,2100
2005-05-10,600789,SELL,1.30981938948,3100
2005-05-10,600323,SELL,2.3198659119,5900
2005-05-10,600380,SELL,1.8504505971,2400
2005-05-10,000573,SELL,1.9396267317,2000
2005-05-10,600563,SELL,4.22013704859,800
2005-05-10,000717,SELL,2.60099452188,4200
2005-05-10,000920,SELL,3.2868245853,800
2005-05-10,600396,SELL,1.56906670266,2800
2005-05-10,600026,SELL,7.1413538976,700
2005-05-10,600490,BUY,0.4101885988199999,8600
2005-05-10,600203,BUY,3.16090350576,1100
2005-05-10,600651,BUY,4.0065959933999995,800
2005-05-10,600255,BUY,0.5525004484999999,6400
2005-05-10,600390,BUY,1.0196701515,3400
2005-05-10,000402,BUY,1.6816361561999997,2100
2005-05-10,000685,BUY,0.7839258226799999,4500
2005-05-10,000532,BUY,3.6490729475199997,900
2005-05-10,600373,BUY,0.7469199938199999,4700
2005-05-10,000545,BUY,1.0005833037199998,3500
2005-05-10,000498,BUY,1.9391428055999997,1800
2005-05-10,600619,BUY,4.969083799679999,700
2005-05-10,600058,BUY,5.764535777,600
2005-05-10,600460,BUY,2.5781019264,1300
2005-05-10,600331,BUY,2.8358181851999995,1200
2005-05-10,000617,BUY,5.475610139999999,600
2005-05-10,600266,BUY,1.6440986562,2100
2005-05-10,600128,BUY,2.5961162327099996,1300
2005-05-10,600110,BUY,1.8172279125,1900
2005-05-10,600498,BUY,2.5751677951999996,1300
2005-05-10,600816,BUY,0.4138541607199999,8500
2005-05-10,600562,BUY,0.94590148653,3700
2005-05-10,600157,BUY,0.3045042,11600
2005-05-10,600513,BUY,1.3749793657599998,2500
2005-05-10,600703,BUY,0.18984093127999999,18600
2005-05-10,600282,BUY,1.0102512419999998,3500
2005-05-10,000501,BUY,1.5560697151999998,2200
2005-05-10,600458,BUY,0.9711853351199998,3600
2005-05-10,600872,BUY,1.2703452761999998,2700
2005-05-10,000915,BUY,1.5150526190799998,2300
2005-05-10,600345,BUY,4.955937686699999,700
2005-05-10,600641,BUY,1.26460017684,2800
2005-05-10,000701,BUY,4.919648734,700
2005-05-10,000670,BUY,2.2022,1600
2005-05-10,000997,BUY,2.3902847268299996,1400
2005-05-10,600353,BUY,0.6065696837199999,5800
2005-05-10,000090,BUY,0.6434303175299999,5500
2005-05-10,600618,BUY,3.7109712639999994,900
2005-05-10,000833,BUY,2.1703582901,1600
2005-05-10,000401,BUY,1.7765820071999998,1900
2005-05-10,600552,BUY,0.7379975202599999,4800
2005-05-10,000736,BUY,0.5639691056999999,6200
